,,participant info,,,,,,,,,,,,,,,,Lifestyle,,,,,,medical history,,,,,,,,,diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUPLICATE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study,Sample Identifier,Age,Stratum,Family ID,Family Member,Zygosity,Location,Weight,BMI,Race,Sex,Species,Order,Family,Zoo,Gut physiology,Breast-fed,Exercise Frequency,Dog?,Cat?,Smoking Frequency,Sleep,Multivitamin,Calf Circumference,Systolic Blood Pressure,Diastolic Blood Pressure,Barthel Index of Activities of Daily Living,Functional Independence Measure,Mini-Mental State Exam,Mini-Nutrition Assessment,Geriatric Depression Test,Charlson Index of Comorbidity,Percent of Carbohydrates from Processed Carbohydrates,Lactose Intolerant,# Plants Consumes,Primary Carb,Primary Vegetable,Energy   (kcal),Total   Fat (g),Total   Carbohydrate (g),Total   Protein (g),Animal   Protein (g),Vegetable   Protein (g),Alcohol   (g),Alcohol (frequency),Cholesterol   (mg),Total   Saturated Fatty Acids (SFA) (g),Total   Monounsaturated Fatty Acids (MUFA) (g),Total   Polyunsaturated Fatty Acids (PUFA) (g),Fructose   (g),Galactose   (g),Glucose   (g),Lactose   (g),Maltose   (g),Sucrose   (g),Starch   (g),Total   Dietary Fiber (g),Soluble   Dietary Fiber (g),Insoluble   Dietary Fiber (g),Pectins   (g),Total   Vitamin A Activity (International Units) (IU),Beta-Carotene   Equivalents (derived from provitamin A carotenoids) (mcg),Retinol   (mcg),Vitamin   D (calciferol) (mcg),Total   Alpha-Tocopherol Equivalents (mg),Vitamin   E (Total Alpha-Tocopherol) (mg),Beta-Tocopherol   (mg),Gamma-Tocopherol   (mg),Delta-Tocopherol   (mg),Vitamin   K (phylloquinone) (mcg),Vitamin   C (ascorbic acid) (mg),Thiamin   (vitamin B1) (mg),Riboflavin   (vitamin B2) (mg),Niacin   (vitamin B3) (mg),Pantothenic   Acid (mg),Vitamin   B-6 (pyridoxine. pyridoxyl. and pyridoxamine) (mg),Total   Folate (mcg),Vitamin   B-12 (cobalamin) (mcg),Calcium   (mg),Phosphorus   (mg),Magnesium   (mg),Iron   (mg),Zinc   (mg),Copper   (mg),Selenium   (mcg),Sodium   (mg),Potassium   (mg),SFA 4:0   (butyric acid) (g),SFA 6:0   (caproic acid) (g),SFA 8:0   (caprylic acid) (g),SFA 10:0   (capric acid) (g),SFA 12:0   (lauric acid) (g),SFA 14:0   (myristic acid) (g),SFA 16:0   (palmitic acid) (g),SFA 17:0   (margaric acid) (g),SFA 18:0   (stearic acid) (g),SFA 20:0   (arachidic acid) (g),SFA 22:0   (behenic acid) (g),MUFA   14:1 (myristoleic acid) (g),MUFA   16:1 (palmitoleic acid) (g),MUFA   18:1 (oleic acid) (g),MUFA   20:1 (gadoleic acid) (g),MUFA   22:1 (erucic acid) (g),PUFA   18:2 (linoleic acid) (g),PUFA   18:3 (linolenic acid) (g),PUFA   18:4 (parinaric acid) (g),PUFA   20:4 (arachidonic acid) (g),PUFA   20:5 (eicosapentaenoic acid [EPA]) (g),PUFA   22:5 (docosapentaenoic acid [DPA]) (g),PUFA   22:6 (docosahexaenoic acid [DHA]) (g),Tryptophan   (g),Threonine   (g),Isoleucine   (g),Leucine   (g),Lysine   (g),Methionine   (g),Cystine   (g),Phenylalanine   (g),Tyrosine   (g),Valine   (g),Arginine   (g),Histidine   (g),Alanine   (g),Aspartic   Acid (g),Glutamic   Acid (g),Glycine   (g),Proline   (g),Serine   (g),Aspartame   (mg),Caffeine   (mg),Phytic   Acid (mg),Oxalic   Acid (mg),3-Methylhistidine   (mg),Ash (g),Water   (g),%   Calories from Fat,%   Calories from Carbohydrate,%   Calories from Protein,% Protein from Animal Protein,% Protein from Plant Protein,%   Calories from Alcohol,%   Calories from SFA,%   Calories from MUFA,%   Calories from PUFA,Polyunsaturated   to Saturated Fat Ratio,Cholesterol   to Saturated Fatty Acid Index,Total   Vitamin A Activity (Retinol Equivalents) (mcg),TRANS   18:1 (trans-octadecenoic acid [elaidic acid]) (g),TRANS   18:2 (trans-octadecadienoic acid [linolelaidic acid]; incl. c-t. t-c. t-t)   (g),TRANS   16:1 (trans-hexadecenoic acid) (g),Total   Trans-Fatty Acids (TRANS) (g),Beta-Carotene   (provitamin A carotenoid) (mcg),Alpha-Carotene   (provitamin A carotenoid) (mcg),Beta-Cryptoxanthin   (provitamin A carotenoid) (mcg),Lutein +   Zeaxanthin (mcg),Lycopene   (mcg),Dietary   Folate Equivalents (mcg),Natural   Folate (food folate) (mcg),Synthetic   Folate (folic acid) (mcg),Total   Vitamin A Activity (Retinol Activity Equivalents) (mcg),Niacin   Equivalents (mg),Total   Sugars (g),Omega-3   Fatty Acids (g),Manganese   (mg),Vitamin   E (International Units) (IU),Natural   Alpha-Tocopherol (RRR-alpha-tocopherol or d-alpha-tocopherol) (mg),Synthetic   Alpha-Tocopherol (all rac-alpha-tocopherol or dl-alpha-tocopherol) (mg),Daidzein   (mg),Genistein   (mg),Glycitein   (mg),Coumestrol   (mg),Biochanin   A (mg),Formononetin   (mg),Added   Sugars (g),Acesulfame   Potassium (mg),Sucralose   (mg),Available   Carbohydrate (g),Glycemic   Index (glucose reference),Glycemic   Index (bread reference),Glycemic   Load (glucose reference),Glycemic   Load (bread reference),Choline   (mg),Betaine   (mg),Erythritol   (g),Inositol   (g),Mannitol   (g),Pinitol   (g),Sorbitol   (g),Xylitol   (g),Nitrogen   (g),Total   Conjugated Linoleic Acid (CLA 18:2) (g),CLA   cis-9. trans-11 (g),CLA   trans-10. cis-12 (g),Tagatose   (mg),Antibiotic history,Bowel movement frequency,Last Traveled,Beesting Allergy,Run Date,Drug Allergies,Sample Mass,General Meds,Body Site of Sample,Migraine Factor 1,Migraine Factor 2,Migraine Factor 3,Tonsils Removed,Elevation,Pet Location,Flossing Frequency,C-Section,Country of Birth,Macronutrient Percent Total,Cosmetics Frequency,Mastermix Lot,Host Subject ID,Gluten Intolerant,TM_1000_8_tool,Longitude,Pet Contact,Migraine Aggravation,Diabetes Medication,Sample Plate,Panicillin,Key Sequence,Body Product,Region,Migraine Frequency,Pregnant,Migraine Relatives,Extraction Kit Lot,Sample,Migraine Photophobia,Site Sampled,Current Residence Duration,Antibiotic Select,Migraine Nausea,Common Name,Treenut Allergies,Migraine Aura,Target Gene,Sequencing Method,Flu Vaccine Date,PCR Primers,Migraine,Environmental Biome,Well ID,Teethbrushing Frequency,Nitromidazole,Migraine Medications,Contraceptive,Sample Center,Living With,Diabetes Medication,Library Construction Protocol,Description Duplicate,Tanning Sprays,Birth Date,Extraction Robot,Sulfa Drug,Non-food Allergies - NO,Environment Matter,Skin Condition,Dander Allergy,Conditions Medication,Acne Medication,Target Subfragment,Title,Height In,Antibiotic Condition,Host Common Name,Migraine Pain,Roommates,Primer Plate,Sun Allergies,Exercise Location,TM50_8 Tool,Collection Date,Altitude,Shellfish Allergy,Quinoline,Shared Housing,Pregnant Due Date,Anonymized Name,Softener,Migraine Phonophobia,Sample Description,Sample Size,Supplements,Poison Ivy Allergy,Tanning Beds,Deceased Parent,Study Center,Body Habitat,Dominant Hand,Diabetes Diagnosis Date,Special Restrictions,Cephalosporin,Environmental Feature,Supplement Fields,Sample Time,Appendix Removed,Drinking Water Source,Communal Dining,Diet Type,Run Center,Diet Restrictions,Experiment Center,Height or Length,Antibiotic Meds,IBD/IBS,Depth,Processing Robot,Host Taxid,Migraine Meds,Taxon ID,Main Factor - Other 3,Plating,Main Factor - Other 1,Nails,Run Prefix,Platform,Deodorant Use,Pets,Main Factor - Other 2,Acne Medication OTC,Machine,Study ID,TM300_8 Tool,Food Allergies - Other Text,Experiment Design Description,Food Allergies - Other,Weight Change,Primer Date,Diabetes,Asthma,Pool Frequency,PKU,Frat,Latitude,Peanut Allergies,Chickenpox,Seasonal Allergies,Description,Country,State,City,Zip Code,Race (Other),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,AfE1phSD3,,,,,,,,,,,African Elephant,Proboscidae,Elephantidae,San Diego,Hindgut-fermenters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,Armadillo,,,,,,,,,,,Southern Three-banded Armadillo,Xenarthra,Dasypodidae,St Louis,Simple-gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,BaboonSTL,,,,,,,,,,,Hamadryas Baboon,Primates,Cercopithecidae,St Louis,Simple-gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,BaboonW,,,,,,,,,,,Hamadryas Baboon,Primates,Cercopithecidae,Wild,Simple-gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,BigHornW3,,,,,,,,,,,Bighorn Sheep,Artiodactyla,Bovidae,Wild,Foregut_fermenters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,BigHomSD,,,,,,,,,,,Bighorn Sheep,Artiodactyla,Bovidae,San Diego,Foregut_fermenters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,BlackBr2,,,,,,,,,,,North American Black Bear,Camivora,Ursidae,St Louis,Simple-gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muegge,BlackLemur,,,,,,,,,,,Black lemur,Primates,Lemuridae,St Louis,Simple-gut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
