	GH1	GH10	GH100	GH101	GH102	GH103	GH104	GH105	GH106	GH107	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH119	GH12	GH120	GH121	GH123	GH124	GH125	GH126	GH127	GH128	GH129	GH13	GH130	GH14	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH22	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH49	GH5	GH50	GH51	GH52	GH53	GH54	GH55	GH56	GH57	GH58	GH59	GH6	GH61	GH62	GH63	GH64	GH65	GH66	GH67	GH68	GH70	GH71	GH73	GH74	GH75	GH76	GH77	GH78	GH79	GH8	GH80	GH81	GH82	GH84	GH85	GH86	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99
3729.113034	1.857586265	0.146533445	0.026375512	0.185009003	0.003727823	0.007666596	0.002968173	0.682201147	0.176021025	0.001004807	0.011048459	3.387462854	0.047967717	0.044853922	0.000208353	0.623778284	0.198225453	0.130263522	0.122264527	0.017209817	0.02477454	4.11E-05	0.000952413	0.095932424	0.008008418	0.244412541	0.020718055	0.097794719	0.003095297	0.319975376	0.012713308	0.06395942	7.214493752	0.48812294	0.00454641	0.073279008	0.161472723	0.000162934	0.716971338	0.03184361	4.159418106	0.597056389	0.00098496	1.733759403	0.102980964	1.877501965	0.255616397	0.217626721	0.720711112	0.54454428	3.181026459	0.148168162	1.409843564	1.264569521	0.662036896	0.166836381	1.126399398	0.010310916	0.357967943	0.119886354	0.900156736	0.577591658	1.869145513	0.020718055	7.05E-07	0.003697653	0.00032117	0.020738587	0.001171865	0.802939713	0.009963359	0.53560549	6.16E-05	0.303471208	4.09E-06	0.032173399	0	0.028002163	2.47E-05	0.028291753	0.001632473	0.000123887	0.05775838	0.073865727	0.002309737	0.190837115	0.00624795	0.012180653	0.00494824	0.001037653	4.09E-06	1.129620552	0.416573614	0.004711263	0.237452224	1.661293983	0.845033765	0.001399238	0.122541443	2.46E-05	0.011086007	0.047578041	0.264411002	0.086975224	0.00066379	0.008706158	0.471097291	0.104055159	0.258147568	0.070056044	0.194075257	0.020090524	0.813570738	0.573313832	0.149711356	0.066721916	0.08659175
7056.11303	1.71504724	0.084247276	0.000622852	0.004558661	0.727701366	1.069348097	0.294464707	0.567317724	0.148084313	0.004231377	0.335805416	4.612170219	0.020783121	0.050028156	1.17E-06	0.011038724	0.021616837	0.1689924	0.143351793	0.024646154	0.047329906	0	0.036302496	0.015215648	0.016147118	0.053136818	0.000257565	0.073172599	4.68E-05	0.354447573	0.022819182	0.020585779	5.133335114	0.211988434	9.37E-05	0.461091578	0.168150201	0.036975518	0.643564641	0.247295111	1.946466923	0.675521851	0.004273099	5.593730927	1.186707497	0.28402102	0.094402805	0.141800001	0.885912478	0.36008808	2.256084919	0.150708348	0.934343219	0.831324577	0.695149243	0.129776537	0.329496145	0.681164145	0.139098153	0.295353591	1.45590961	0.475329429	1.59438622	0.000257565	0.001024913	0.001631124	0.001382644	0.000257565	0.004149104	0.425680697	0.059551578	0.178014979	0	0.259631634	0.017319199	0.030524714	7.37E-05	0.056023598	0.011415896	0.003163391	0.004113603	0	0.000225114	0.199472904	0.035710741	0.22577408	0.024361175	0.038801037	0.157924205	0	0.017319199	1.075925589	0.661098301	0.000129803	0.197496802	0.647009373	0.560756743	0.074881084	0.646570086	0.042356849	0.00023423	0.002341828	0.040499967	0.022571981	0.002765288	0.14132227	0.289381206	0.107176587	0.053666256	0.052131884	0.699947238	0.121163182	0.142331481	0.287495822	0.390195966	0.006141293	0.144180194
9004.113026	1.147531867	0.682608187	0.006815751	0.065642029	0.033630516	0.028052514	0.009618224	2.731180668	1.362820983	0.022977056	0.031398542	4.089718342	0.028166071	0.3721461	1.14E-05	0.389488935	0.108637013	0.051330436	1.089332581	0.099001639	0.497675329	0	0.007740552	0.080995709	0.072962232	0.433980644	0.008344762	0.349112958	0.000909054	1.540784121	0.026321672	0.046426397	5.679782867	1.381030798	0.000817953	0.105833016	1.315033317	0.001534577	1.296697974	0.017338045	10.74624062	3.092839956	0.025214719	1.957709908	0.693213046	1.467715263	0.681047499	1.076756954	3.325648546	2.807473421	4.605997562	1.225000262	2.305132389	1.418700576	1.695681095	0.899889648	1.307076573	0.027088266	0.301564455	0.071071349	0.919799805	0.552269101	8.637991905	0.008344762	0	0.007122646	0.00618301	0.008344762	0.438645482	1.262746096	0.325647533	1.240954876	0	0.296550065	1.60E-06	0.203087538	0	0.390672445	0.000202173	0.16248931	0.000151259	2.75E-05	0.065164842	0.280647933	0.000417888	0.294283062	0.106977195	0.314218163	0.001457958	0.000444643	1.60E-06	1.347295046	0.27128014	4.17E-05	1.129745722	1.392137647	2.321584702	0.024749827	0.10509526	0.000135436	0.002044882	0.021345748	0.357588559	0.121331088	0.292460084	0.006938952	1.825249195	0.614109516	0.213392317	0.071137741	3.557064295	0.229604185	0.42926231	1.803429604	2.877902746	0.041558422	0.469613314
3730.113045	2.901440144	0.07833913	0.008680215	0.153758898	0.061615087	0.085629381	0.046673108	0.803731382	0.100611083	0.001347425	0.027580861	3.809083462	0.021158224	0.022826917	0.000152952	0.529609382	0.187170297	0.109279513	0.065225706	0.014152698	0.016186254	2.00E-06	0.000688797	0.049101748	0.004059738	0.125883237	0.010696338	0.178820997	0.069646358	0.212110639	0.007460666	0.036532406	6.131506443	0.417226225	0.002380955	0.060741134	0.089744836	0.000621541	0.614707649	0.03628483	4.116974831	0.407179296	0.001462416	1.90901947	0.206672266	1.581121087	0.163110912	0.118102618	0.851328492	0.290065259	2.264657497	0.088168368	1.384099722	1.039850235	0.396842897	0.28729856	0.872303903	0.091038473	0.352218211	0.070025764	0.919630408	0.320755661	1.205024958	0.010696338	3.11E-06	0.0120929	0.000283005	0.010697336	0.001187461	0.48502636	0.008832796	0.374217659	0.000154137	0.18128936	3.26E-07	0.016749274	3.26E-07	0.022551233	0.003539569	0.014844928	0.002474868	0.000289519	0.092929728	0.13424775	0.001203942	0.369479924	0.015663486	0.008271771	0.003348814	0.002221073	1.96E-06	1.52439642	0.276610464	0.0004584	0.216101587	1.450242639	0.553590715	0.001274828	0.112398602	0.002348682	0.005774661	0.019673968	0.121212155	0.047247823	0.000700218	0.006598519	0.64302063	0.052332923	0.148750171	0.031240446	0.324484557	0.008177239	0.657103479	0.263189077	0.106857456	0.029295316	0.050161082
2911.113012	6.750795364	0.030459911	0.001611069	0.00882791	0.821653366	0.856009364	0.511043608	1.187496185	0.044336975	0.002955784	1.162962079	9.988445282	0.099048167	0.019507963	5.47E-06	0.029103102	0.012379777	0.046442967	0.051692653	0.00698279	0.016681729	0	0.000472455	0.012901013	0.004712567	0.024263296	0.000531466	0.030595666	0.000763069	0.296928674	0.001484724	0.005492107	8.114898682	0.090929277	8.01E-05	0.03207247	0.065008141	4.96E-05	1.16012454	0.588145494	2.456713438	0.18177706	0.003820695	8.246013641	1.279907107	0.139965758	0.038017496	0.035921887	0.741429448	0.133245394	2.474793434	0.046449449	1.844452143	1.888906002	0.495734066	0.057857592	0.878287077	1.604838967	0.05700846	0.877275944	5.630689621	1.488991857	3.009551764	0.000531466	1.72E-06	0.000572536	0.000421267	0.000531466	0.001269276	0.871302962	0.012918932	0.079449482	0	0.803980112	1.75E-05	0.005421321	1.63E-06	0.020556385	0.003655994	0.001783042	0.000704742	4.76E-06	0.002427745	0.243160069	7.64E-05	0.058205895	0.007388502	0.011155793	0.000921047	0.000180802	1.75E-05	0.969173908	0.062105957	4.33E-05	0.077726722	0.908297539	1.005574465	0.001791671	1.58298409	0.00158866	0.00018478	0.002566295	0.023228941	0.009596257	0.000863832	0.001189189	0.28702426	0.035883158	0.115081623	0.200334311	0.179700077	0.008007683	0.142859802	0.1161125	0.122312583	0.004817112	0.033481788
Blank27.A3.1130110	4.584394455	0.191131875	0.002248088	0.043067649	0.559086561	0.595320344	0.341992497	1.405572891	0.329537809	0.007809251	0.775664866	7.712758541	0.079760894	0.119339272	0.000154933	0.122251607	0.045012973	0.090365395	0.289001256	0.053738728	0.092237443	0	0.005041438	0.052705493	0.031655613	0.164457694	0.007551662	0.153804705	0.007935362	0.699399948	0.009221855	0.031156123	7.251692295	0.482341319	0.000853215	0.111473963	0.349032849	0.00078822	1.130982161	0.38522017	4.194755077	1.042682767	0.00923611	5.897473335	1.043303251	0.601806343	0.204404637	0.20288372	1.397015452	0.73879993	3.229513645	0.3050237	1.837961078	1.58041656	0.756359339	0.294810534	0.935635507	1.041910887	0.220559865	0.576308846	3.771203756	1.09124279	4.029644966	0.007551662	0	0.002965453	0.002163144	0.007551662	0.017033976	0.996738553	0.069435723	0.447234273	0.0001924	0.617926478	8.33E-05	0.031735189	0	0.124602623	0.005152506	0.018401626	0.002736179	6.34E-05	0.011279415	0.319871783	0.000567503	0.201246887	0.039043728	0.07152573	0.005765579	0.001467274	8.33E-05	1.171462178	0.186077684	0.004184704	0.382192016	0.979444742	1.296546817	0.009568742	1.055118918	0.003097926	0.001810081	0.012092042	0.126994893	0.05464229	0.011401971	0.003683487	0.64981854	0.208442077	0.169631034	0.162665009	1.108540893	0.037020035	0.275204688	0.609479964	0.756585777	0.02293797	0.18325004
Blank27.B3.1130089	2.483411312	0.115664616	0.001279975	0.049309418	0.304859757	1.028280854	0.171724334	0.774546206	0.268250227	0.002049252	0.4031353	6.254330635	0.04248859	0.061825056	0.001090003	0.109341763	0.029401937	0.04269404	0.191322833	0.032775417	0.047739193	0.000181138	0.004387866	0.034172505	0.032605525	0.097688854	0.009596274	0.056241427	0.003108257	0.460810602	0.005616769	0.028470987	5.351269722	0.24023594	0.002110729	0.0985635	0.183960199	0.000889206	0.572710097	0.197710261	2.434752226	0.584708452	0.002049252	4.964648247	0.613655686	0.506383479	0.124978878	0.093927078	0.911582828	0.45854339	2.097922087	0.172990128	1.001370072	1.203297377	0.463314801	0.132073984	0.518705785	0.531371117	0.12979199	0.298760235	2.016796827	0.622880399	2.40796566	0.009596274	0	0.003083156	0.000683084	0.009686843	0.003139255	0.614324868	0.027945513	0.256408274	0.000271706	0.323331445	0.000284479	0.016626878	7.40E-05	0.072131589	0.002250497	0.012498298	0.009264822	0	0.008947198	0.207116336	0.001565532	0.122386821	0.013629409	0.047837753	0.0050779	0	0.000284479	0.974570632	0.809310913	0.006279435	0.153020471	0.650035143	0.690542161	0.006902795	0.548262239	0.001616445	0.002710707	0.011633297	0.086356983	0.025684699	0.001366168	0.004190757	0.355444163	0.115969449	0.135397598	0.069537267	0.46780467	0.015459357	0.212148353	0.381896377	0.402541697	0.015638052	0.128783837
1630.113	5.689834118	0.089838289	0.002175443	0.025954686	0.679207921	0.678227246	0.423696965	1.099271297	0.099162854	0.000730742	1.005267262	8.745195389	0.093451329	0.029621847	6.47E-05	0.070606329	0.034866653	0.067362875	0.097050942	0.024837159	0.022808462	9.98E-06	0.00493029	0.0217808	0.007812533	0.073795654	0.00277866	0.095623747	0.005598952	0.371683389	0.006069873	0.017002616	7.973114491	0.215067253	0.000776445	0.060282271	0.151964486	0.004197522	1.157692194	0.500192583	2.807601213	0.520920455	0.000662848	7.021075726	1.251416922	0.588380992	0.128823772	0.127144426	0.83215338	0.448759913	2.627434969	0.091429718	1.751078844	1.775903702	0.549722195	0.126951739	0.845163107	1.342575192	0.103184029	0.741953552	4.79076004	1.265414715	3.006416082	0.00277866	1.06E-06	0.000684825	0.000209309	0.002783648	0.005242249	0.936876059	0.007876669	0.235725716	0.001429518	0.741113424	3.07E-06	0.008478811	4.99E-07	0.114555657	0.00444435	0.005382191	0.002906733	0.00024858	0.006682537	0.278611571	0.000235729	0.081750967	0.00813862	0.03411765	0.001863013	0.001707083	3.07E-06	1.147958398	0.161750451	0.000778226	0.177971989	0.981468499	0.91962254	0.000944781	1.330581784	0.002300972	0.002420417	0.005255635	0.119209193	0.110128246	0.003456691	0.006384463	0.313595533	0.095331706	0.121426083	0.184058905	0.505365252	0.009264478	0.203466341	0.276563823	0.310790777	0.010305624	0.059707522
Blank27.F3.1130453	3.582220793	0.265787721	0.002648384	0.06478896	0.409698874	0.51870662	0.259095997	1.611963034	0.583718717	0.008830241	0.555675209	7.056017876	0.066182218	0.183166936	0.000185043	0.177292541	0.060867507	0.076819248	0.459188432	0.092838503	0.138121709	1.64E-05	0.005278436	0.062405739	0.063227631	0.25257355	0.013284341	0.185437948	0.006697577	1.013886452	0.013447408	0.047324978	6.810773373	0.695158243	0.001751518	0.137075052	0.50852561	0.000603116	1.112383366	0.28200677	5.341035366	1.558666825	0.008869209	5.020555019	0.869374692	0.792088032	0.267472178	0.247096583	1.99181664	1.124457836	3.605294704	0.453792781	1.833910584	1.494232178	0.922233641	0.38805443	0.998635173	0.772276223	0.268079668	0.449880391	3.008488178	0.969031215	4.972548962	0.013284341	0	0.005267277	0.002940684	0.01329253	0.012774047	1.1248101	0.089861445	0.634787917	0.001252314	0.560971916	0.000144883	0.038285945	0	0.173434377	0.003390955	0.022779193	0.003370699	2.46E-05	0.015985202	0.383062512	0.000942704	0.225122482	0.051215213	0.113474973	0.005287647	0.00051845	0.000144883	1.198382378	0.356930226	0.007315529	0.496374369	1.018068433	1.545921683	0.012484392	0.813067198	0.001950765	0.004070775	0.019007346	0.186990768	0.062382329	0.008439827	0.004138087	0.838231504	0.318644553	0.219850793	0.126084685	1.586009264	0.046075251	0.345757842	0.950377941	1.155836463	0.033115737	0.294952512
9458.113027	1.747226238	0.008029511	5.05E-05	0.007064579	0.701601326	1.387117863	0.304985732	0.17467171	0.007161389	0.000311717	0.446566343	4.28633213	0.005170363	0.000729701	0.000565183	0.016569307	0.007807766	0.368378878	0.001334767	0.00527693	0.00118434	0	0.001449794	0.077852651	0.002976476	0.002268999	2.70E-05	0.010436701	7.47E-05	0.164435014	7.39E-05	0.090084463	4.050899506	0.041925255	1.27E-05	0.184047565	0.062866636	0.019047692	0.513697088	0.266813457	1.129010677	0.302894741	4.61E-05	5.556252003	1.329048038	0.624602318	0.125245363	0.008466776	0.185591817	0.022338241	1.341952324	0.032023922	0.718845427	0.542423725	0.238675207	0.009851348	0.192214817	0.706907511	0.255084693	0.08000543	1.496483445	0.119838931	0.284117699	2.70E-05	0.009331016	8.07E-05	5.36E-06	2.70E-05	0.000581269	0.170840606	0.004989654	0.019359548	8.90E-06	0.065378822	0	0.000134703	3.01E-06	0.006012124	0.030100917	7.67E-05	0.014296439	0.000826788	3.25E-05	0.303310722	0.009619934	0.285844058	0.00170048	0.000318496	0.005627729	0.005632126	0	1.052179337	0.080199443	0	0.010442935	0.571740031	0.063411191	0.00030005	0.452904314	0.020067278	4.05E-05	0.000136849	0.031615552	0.007611656	1.07E-05	0.007082137	0.076154172	0.011445699	0.084982418	0.020435978	0.03639631	0.00039872	0.279515237	0.010516535	0.003286306	0.001814963	0.037999939
