"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
1951,0,14,4538324.3,"DD98",3275834,16217,15979,1,0
1950,0,14,4538323.3,"DD97",3348352,16576,15425,1,0
1920,0,14,4538279.3,"DD43",7132014,35307,34030,1,0
1914,0,14,4538270.3,"DD33",3891530,19265,16921,1,0
1913,0,14,4538269.3,"DD32",3660442,18121,17595,1,0
1911,0,14,4538255.3,"DD2",5664282,28041,25723,1,0
1909,0,14,4538276.3,"DD4",2364006,11703,11387,1,0
1907,0,14,4538290.3,"DD6",4512882,22341,22185,1,0
1905,0,14,4538307.3,"DD8",5857798,28999,27745,1,0
1902,0,14,4538217.3,"DD13",5101308,25254,24281,1,0
1898,0,14,4538254.3,"DD18",5569342,27571,27336,1,0
1894,0,14,4538259.3,"DD23",5329568,26384,24744,1,0
1891,0,14,4538263.3,"DD27",3724476,18438,17606,1,0
1890,0,14,4538264.3,"DD28",4090500,20250,18837,1,0
1889,0,14,4538265.3,"DD29",4679330,23165,21855,1,0
1955,0,14,4538197.3,"DD107",3974552,19676,19165,1,0
1954,0,14,4538196.3,"DD106",4036768,19984,19339,1,0
1953,0,14,4538195.3,"DD104",6283614,31107,30445,1,0
1952,0,14,4538193.3,"DD102",4123426,20413,20009,1,0
1949,0,14,4538322.3,"DD96",2073530,10265,10117,1,0
1948,0,14,4538319.3,"DD93",2142816,10608,10464,1,0
1947,0,14,4538318.3,"DD90",1765278,8739,8622,1,0
1946,0,14,4538317.3,"DD89",1401476,6938,6883,1,0
1945,0,14,4538315.3,"DD87",2822950,13975,13737,1,0
1944,0,14,4538314.3,"DD86",3984248,19724,18226,1,0
1943,0,14,4538313.3,"DD85",2085246,10323,10240,1,0
1942,0,14,4538312.3,"DD84",2882540,14270,14141,1,0
1941,0,14,4538311.3,"DD83",3867896,19148,18685,1,0
1940,0,14,4538310.3,"DD82",3849514,19057,18818,1,0
1939,0,14,4538309.3,"DD81",2516920,12460,12135,1,0
1938,0,14,4538308.3,"DD80",1552774,7687,7066,1,0
1937,0,14,4538306.3,"DD79",2410668,11934,11502,1,0
1936,0,14,4538303.3,"DD72",1803456,8928,7862,1,0
1935,0,14,4538302.3,"DD71",4578734,22667,21239,1,0
1934,0,14,4538301.3,"DD70",2906578,14389,12914,1,0
1933,0,14,4538298.3,"DD68",3086964,15282,13842,1,0
1932,0,14,4538297.3,"DD67",2528232,12516,11529,1,0
1931,0,14,4538295.3,"DD65",5239072,25936,23931,1,0
1930,0,14,4538294.3,"DD64",5281492,26146,23969,1,0
1929,0,14,4538293.3,"DD63",2988186,14793,13903,1,0
1928,0,14,4538292.3,"DD61",2357542,11671,11541,1,0
1927,0,14,4538291.3,"DD60",4066058,20129,19948,1,0
1926,0,14,4538289.3,"DD59",4552878,22539,22032,1,0
1925,0,14,4538288.3,"DD58",4209074,20837,20592,1,0
1924,0,14,4538287.3,"DD53",3234626,16013,15905,1,0
1923,0,14,4538284.3,"DD48",10327654,51127,46158,1,0
1922,0,14,4538283.3,"DD47",6710844,33222,32563,1,0
1921,0,14,4538280.3,"DD44",2787398,13799,13566,1,0
1919,0,14,4538278.3,"DD42",4626204,22902,20178,1,0
1918,0,14,4538275.3,"DD39",4230486,20943,19599,1,0
1917,0,14,4538274.3,"DD38",6202410,30705,28289,1,0
1916,0,14,4538273.3,"DD36",4156554,20577,20454,1,0
1915,0,14,4538271.3,"DD34",4976876,24638,22721,1,0
1969,0,14,4538212.3,"DD123",2634484,13042,12767,1,0
1912,0,14,4538268.3,"DD31",4373098,21649,20129,1,0
1910,0,14,4538266.3,"DD3",4283208,21204,20318,1,0
1908,0,14,4538285.3,"DD5",6195138,30669,28262,1,0
1906,0,14,4538300.3,"DD7",5530962,27381,25449,1,0
1904,0,14,4538190.3,"DD10",5531366,27383,26510,1,0
1903,0,14,4538208.3,"DD12",5354010,26505,25609,1,0
1901,0,14,4538228.3,"DD14",4668826,23113,22392,1,0
1900,0,14,4538238.3,"DD15",4189884,20742,18580,1,0
1899,0,14,4538253.3,"DD17",5790330,28665,27145,1,0
1897,0,14,4538256.3,"DD20",4315730,21365,21277,1,0
1896,0,14,4538257.3,"DD21",4253716,21058,20227,1,0
1895,0,14,4538258.3,"DD22",3659432,18116,17844,1,0
1893,0,14,4538260.3,"DD24",5620246,27823,23262,1,0
1892,0,14,4538261.3,"DD25",4650848,23024,22212,1,0
