"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
1644,0,5,4491731.3,"191 ELDERMET samples",1213496025,5366983,8956596,1,0
1668,0,5,4495052.3,"EM012-T0",2928364,13019,19921,1,0
1669,0,5,4495053.3,"EM015-T0",3794890,16899,30942,1,0
1670,0,5,4495054.3,"EM017-T0",4059832,18056,29102,1,0
1643,0,5,4491562.3,"EM039_C_NA_NA",119274392,105809,109434,1,0
1671,0,5,4495055.3,"EM041-T0",6904125,30685,53362,1,0
1672,0,5,4495056.3,"EM044-T0",6484518,28818,39806,1,0
1673,0,5,4495057.3,"EM047-T6",7154889,28812,45351,1,0
1674,0,5,4495058.3,"EM049-T6",7330501,29474,51026,1,0
1675,0,5,4495059.3,"EM053-T6",8323657,33487,60476,1,0
1676,0,5,4495060.3,"EM054-T6",7302471,29427,48701,1,0
1677,0,5,4495061.3,"EM055-T6",7658013,30835,43099,1,0
1678,0,5,4495062.3,"EM059-T6",6737693,27095,46202,1,0
1679,0,5,4495063.3,"EM060-T0",3803406,16923,31437,1,0
1680,0,5,4495064.3,"EM071-T0",3542594,15762,25178,1,0
1681,0,5,4495065.3,"EM072-T6",7463778,30046,37789,1,0
1682,0,5,4495066.3,"EM073-T6",6839971,27551,50636,1,0
1683,0,5,4495067.3,"EM081-T0",3754112,16688,28723,1,0
1684,0,5,4495068.3,"EM082-T0",4196430,18669,34243,1,0
1685,0,5,4495069.3,"EM084-T3",7345919,32549,56918,1,0
1686,0,5,4495070.3,"EM089-T0",3418881,15216,25698,1,0
1687,0,5,4495071.3,"EM093-T6",7594255,30516,46690,1,0
1688,0,5,4495072.3,"EM094-T0",5459798,24294,43692,1,0
1689,0,5,4495073.3,"EM095-T0",9013267,40066,65289,1,0
1690,0,5,4495074.3,"EM096-T3",7537783,30364,50275,1,0
1691,0,5,4495075.3,"EM100-T6",8639723,34730,47927,1,0
1692,0,5,4495076.3,"EM102-T0",3965638,17645,29331,1,0
1693,0,5,4495077.3,"EM105-T3",7655006,34037,60010,1,0
1694,0,5,4495078.3,"EM106-T3",6495168,28917,40224,1,0
1695,0,5,4495079.3,"EM107-T3",6023956,26835,43004,1,0
1696,0,5,4495080.3,"EM109-T3",6962288,30976,52113,1,0
1697,0,5,4495081.3,"EM110-T3",4885459,21723,31667,1,0
1698,0,5,4495082.3,"EM119-T3",5886853,26198,30920,1,0
1699,0,5,4495083.3,"EM120-T3",6481939,28819,42553,1,0
1700,0,5,4495084.3,"EM122-T3",8234371,36683,70189,1,0
1701,0,5,4495085.3,"EM133-T3",7666252,34085,60654,1,0
1702,0,5,4495086.3,"EM134-T3",7483255,33273,59737,1,0
1703,0,5,4495087.3,"EM136-T0",4487927,19978,35604,1,0
1704,0,5,4495088.3,"EM138-T3",6343454,28231,50278,1,0
1705,0,5,4495089.3,"EM142-T3",7291140,32620,59882,1,0
1706,0,5,4495090.3,"EM143-T3",8071685,35902,53188,1,0
1707,0,5,4495091.3,"EM144-T0",3455206,15400,20430,1,0
1642,0,5,4491490.3,"EM148_R_NA_NA",58257244,15793,36480,1,0
1708,0,5,4495092.3,"EM150-T0",4920871,21992,40333,1,0
