"id","metagenomes_id","domain","phylum","class","order","family","genus","species","strain","abundance","avg_evalue","evalue_std_dev","avg_percent_ident","percent_ident_std_dev","avg_align_len","align_len_std_dev"
241886,2354,"Bacteria","-","-","-","-","-","-","-",191,-42.55,19.28,99.90,0.36,86.77,32.84
241887,2354,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","-",3,-142.50,8.51,99.22,1.08,257.00,10.38
241888,2354,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","Enterorhabdus","Enterorhabdus caecimuris","Enterorhabdus caecimuris",1,-39.00,0.00,100.00,0.00,81.00,0.00
241889,2354,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","Slackia","Slackia exigua","Slackia exigua ATCC 700122",4,-25.00,0.00,100.00,0.00,56.00,0.00
241890,2354,"Eukaryota","Arthropoda","Insecta","Isoptera","Rhinotermitidae","Coptotermes","Coptotermes formosanus","Coptotermes formosanus (Formosan subterranean termite)",2,-22.80,2.39,100.00,0.00,53.40,3.71
241891,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","-","-","-","-",10,-53.33,36.44,100.00,0.00,105.00,61.85
241892,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","-","-",265,-93.89,29.28,99.31,1.82,176.19,48.98
241893,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides fragilis",4,-129.80,0.45,98.74,0.29,239.00,0.00
241894,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis","-",1,-133.00,0.00,100.00,0.00,241.00,0.00
241895,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides nordii","Bacteroides nordii",3,-98.00,0.00,99.45,0.00,183.00,0.00
241896,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","-",5,-132.46,1.04,98.96,0.64,244.00,0.00
241897,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides pectinophilus","Bacteroides pectinophilus ATCC 43243",36,-72.00,17.62,99.94,0.19,135.94,30.05
241898,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella","Barnesiella intestinihominis","Barnesiella intestinihominis",1,-61.00,0.00,99.17,0.00,120.00,0.00
241899,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter","Odoribacter splanchnicus","Odoribacter splanchnicus",2,-63.75,3.50,99.81,0.38,123.50,7.00
241900,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Parabacteroides merdae","-",5,-88.00,0.00,100.00,0.00,165.00,0.00
241901,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","-","-",38,-59.88,2.95,98.96,0.58,116.88,5.57
241902,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella clara","Paraprevotella clara",1,-80.00,0.00,98.69,0.00,153.00,0.00
241903,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella copri","-",1,-118.00,9.49,99.39,0.20,217.22,16.34
241904,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","-","-",1,-25.50,0.53,100.00,0.00,58.00,1.05
241905,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes finegoldii",3,-94.38,41.04,99.25,0.30,176.88,69.37
241906,2354,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","-",46,-85.78,32.64,99.80,0.48,160.94,55.79
