"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
2354,0,15,4461266.3,"CRBM.02",487014,2159,2038,1,0
2355,0,15,4461267.3,"CRBM.03",754659,3279,2760,1,0
2356,0,15,4461268.3,"CRBM.04",544230,2365,2000,1,0
2357,0,15,4461269.3,"CRBM.05",828573,3614,3127,1,0
2358,0,15,4461270.3,"CRBM.06",616680,2716,2432,1,0
2359,0,15,4461271.3,"CRBM.07",4326022,18818,16338,1,0
2360,0,15,4461272.3,"CRBM.08",749334,3240,3106,1,0
2361,0,15,4461273.3,"CRBM.09",562006,2431,2155,1,0
2362,0,15,4461274.3,"CRBM.10",830273,3610,3059,1,0
2363,0,15,4461275.3,"CRBM.11",528836,2311,2197,1,0
2364,0,15,4461276.3,"CRBM.12",600792,2695,2293,1,0
2365,0,15,4461277.3,"CRBM.13",545036,2350,2129,1,0
2366,0,15,4461278.3,"CRBM.14",651412,2855,2737,1,0
2367,0,15,4461279.3,"CRBM.15",515376,2317,2204,1,0
2368,0,15,4461280.3,"CRBM.16",743351,3274,2935,1,0
2369,0,15,4461281.3,"CRBM.19",524815,2274,2032,1,0
2370,0,15,4461282.3,"CRBM.20",777629,3415,3005,1,0
2371,0,15,4461283.3,"CRBM.21",424769,1826,1739,1,0
