"id","metagenomes_id","domain","phylum","class","order","family","genus","species","strain","abundance","avg_evalue","evalue_std_dev","avg_percent_ident","percent_ident_std_dev","avg_align_len","align_len_std_dev"
243574,2372,"Eukaryota","-","-","-","-","-","-","-",2,-28.20,2.53,100.00,0.00,62.80,3.79
243575,2372,"Bacteria","-","-","-","-","-","-","-",234,-31.53,10.98,99.97,0.27,68.17,18.40
243576,2372,"Bacteria","Actinobacteria","Actinobacteria (class)","Actinomycetales","Corynebacteriaceae","Corynebacterium","-","-",5,-23.00,0.00,100.00,0.00,53.00,0.00
243577,2372,"Bacteria","Actinobacteria","Actinobacteria (class)","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium efficiens","Corynebacterium efficiens YS-314",2,-21.00,0.00,100.00,0.00,51.00,0.00
243578,2372,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","-","-","-",2,-23.28,0.89,100.00,0.00,53.97,1.71
243579,2372,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","Eggerthella","Eggerthella lenta","-",2,-23.00,0.00,100.00,0.00,54.00,0.00
243580,2372,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","Enterorhabdus","Enterorhabdus caecimuris","Enterorhabdus caecimuris",17,-27.44,5.85,100.00,0.00,60.78,9.85
243581,2372,"Bacteria","Actinobacteria","Actinobacteria (class)","Coriobacteriales","Coriobacteriaceae","Enterorhabdus","Enterorhabdus mucosicola","Enterorhabdus mucosicola",1,-38.00,0.00,100.00,0.00,79.00,0.00
243582,2372,"Eukaryota","Arthropoda","Insecta","Isoptera","Rhinotermitidae","Coptotermes","Coptotermes formosanus","Coptotermes formosanus (Formosan subterranean termite)",243,-23.16,2.48,100.00,0.00,54.09,4.32
243583,2372,"Bacteria","Bacteroidetes","-","-","-","-","-","-",24,-22.80,2.61,99.85,0.62,53.57,4.61
243584,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","-","-","-","-",500,-21.20,0.85,100.00,0.10,51.25,1.32
243585,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","-","-",39,-32.19,14.08,99.50,0.94,70.22,25.15
243586,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides capillosus","Bacteroides capillosus ATCC 29799",2,-54.00,0.00,100.00,0.00,105.00,0.00
243587,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides coprosuis","Bacteroides coprosuis",23,-21.00,0.00,100.00,0.00,51.00,0.00
243588,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp.","Bacteroides sp.",25,-21.00,0.00,100.00,0.00,51.00,0.00
243589,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","-","-","-",1,-21.05,0.22,100.00,0.00,51.05,0.22
243590,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Butyricimonas","-","-",17,-24.50,2.57,100.00,0.00,56.50,4.63
243591,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Butyricimonas","Butyricimonas virosa","Butyricimonas virosa",74,-24.60,2.07,100.00,0.00,56.00,3.46
243592,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas cangingivalis","Porphyromonas cangingivalis",4,-21.00,0.00,100.00,0.00,51.00,0.00
243593,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","-","-",3,-33.25,2.22,98.99,1.26,72.00,3.83
243594,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","-","-",344,-33.56,12.75,99.94,0.25,71.87,21.62
243595,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis","Prevotella corporis",28,-26.00,0.00,100.00,0.00,59.00,0.00
243596,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella melaninogenica","Prevotella melaninogenica",13,-22.00,0.00,100.00,0.00,52.00,0.00
243597,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella nigrescens","Prevotella nigrescens",21,-41.76,0.43,99.99,0.13,85.52,0.86
243598,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella oris","Prevotella oris",45,-42.05,7.19,100.00,0.00,86.03,12.31
243599,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella pleuritidis","Prevotella pleuritidis",7,-31.50,7.73,100.00,0.00,67.75,12.81
243600,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella ruminicola","Prevotella ruminicola",2,-38.00,0.00,100.00,0.00,79.00,0.00
243601,2372,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","-","-",9,-28.00,2.05,100.00,0.00,62.00,3.08
