"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
2372,0,16,4461302.3,"AfElphSD3.16S",1171600,5130,3153,1,0
2373,0,16,4461303.3,"Armadillo.16S",1120053,4889,4331,1,0
2374,0,16,4461304.3,"BaboonSTL.16S",1017889,4480,3320,1,0
2375,0,16,4461305.3,"BaboonW.16S",622555,2788,1722,1,0
2376,0,16,4461306.3,"BigHornSD.16S",1035594,4592,3454,1,0
2377,0,16,4461307.3,"BigHornW3.16S",535664,2281,2058,1,0
2378,0,16,4461308.3,"BlackBr2.16S",523821,2404,2398,1,0
2379,0,16,4461309.3,"BlackLemur.16S",655745,2997,2929,1,0
2380,0,16,4461310.3,"BlackRhino1.16S",851967,3781,2523,1,0
2381,0,16,4461311.3,"BushDog1.16S",766643,3345,3172,1,0
2382,0,16,4461312.3,"Callimicos.16S",1033041,4549,4400,1,0
2383,0,16,4461313.3,"Capybara.16S",749464,3232,1933,1,0
2384,0,16,4461314.3,"Chimp1.16S",776953,3477,2824,1,0
2385,0,16,4461315.3,"Chimp2.16S",866088,3814,2786,1,0
2386,0,16,4461316.3,"Colobus.16S",445363,1979,1447,1,0
2387,0,16,4461318.3,"Gazelle3.16S",975973,4296,2898,1,0
2388,0,16,4461319.3,"Giraffe2.16S",725848,3220,2470,1,0
2389,0,16,4461320.3,"GorillaSTL.16S",764012,3317,2100,1,0
2390,0,16,4461321.3,"Horse1.16S",916093,3982,2552,1,0
2391,0,16,4461322.3,"Hyena2.16S",421060,1900,1475,1,0
2392,0,16,4461323.3,"HyraxSD.16S",795256,3431,2477,1,0
2393,0,16,4461324.3,"HyraxSTL.16S",788736,3485,2444,1,0
2394,0,16,4461325.3,"Kroo3.16S",1106327,4854,3562,1,0
2395,0,16,4461326.3,"Lion1.16S",879719,3692,2524,1,0
2396,0,16,4461327.3,"Lion2.16S",936131,4026,3688,1,0
2397,0,16,4461328.3,"Okapi1.16S",1031305,4628,3520,1,0
2398,0,16,4461329.3,"Okapi2.16S",1106034,4838,3735,1,0
2399,0,16,4461330.3,"Orang1.16S",733416,3299,2459,1,0
2400,0,16,4461331.3,"PolarBr2.16S",743261,3303,3278,1,0
2401,0,16,4461332.3,"Rabbit.16S",860714,3703,2791,1,0
2402,0,16,4461333.3,"RTLemur.16S",1022884,4439,3242,1,0
2403,0,16,4461334.3,"Saki.16S",1663375,7359,6727,1,0
2404,0,16,4461335.3,"SpecBr2.16S",675118,3143,1612,1,0
2405,0,16,4461336.3,"SpgbkW.16S",1000532,4341,3459,1,0
2406,0,16,4461337.3,"Squirrel.16S",647057,2923,2822,1,0
2407,0,16,4461338.3,"Urial2.16S",1441771,6281,4780,1,0
2408,0,16,4461339.3,"VWPig.16S",858700,3750,2823,1,0
2409,0,16,4461340.3,"ZebraSTL1.16S",1027903,4576,3064,1,0
