#SampleID	Type	Class1	Class2	Class3	ClassOther
'000003060.1130813'	6month	1	0	0	0
'000001808.1130687'	6month	1	0	0	0
'000001669.1130630'	6month	1	0	0	0
'000001058.1130904'	6month	1	0	0	0
'000001962.1130650'	6month	0	0	0	1
'000001419.1130587'	6month	1	0	0	0
'000001077.1130737'	6month	0	1	0	0
'000001256.1130677'	6month	1	0	0	0
'000001278.1130861'	6month	1	0	0	0
'000001651.1130938'	6month	1	0	0	0
'000002871.1130899'	6month	1	0	0	0
'000002873.1130990'	6month	1	0	0	0
'000003091.1130766'	6month	1	0	0	0
'000002067.1130623'	6month	0	0	0	1
'000003970.1130802'	6month	1	0	0	0
'000001548.1130784'	6month	1	0	0	0
'000001270.1130818'	6month	1	0	0	0
'000002897.1130582'	6month	1	0	0	0
'000002035.1130717'	6month	0	0	0	1
'000002863.1130734'	6month	1	0	0	0
'000002638.1130945'	6month	1	0	0	0
'000002274.1130937'	6month	1	0	0	0
'000002805.1130741'	6month	1	0	0	0
'000004680.1130744'	6month	1	0	0	0
'000001032.1130796'	6month	0	0	0	2
'000001140.1130859'	6month	1	0	0	0
'000001678.1130668'	6month	1	1	0	0
'000002068.1130584'	6month	0	0	0	1
'000001377.1130686'	6month	1	0	0	0
'000001189.1130925'	6month	1	0	0	0
'000003154.1130997'	6month	1	0	0	0
'000001886.1130903'	6month	0	0	0	1
'000003282.1130875'	6month	1	0	0	0
'000003155.1130935'	6month	1	0	0	0
'000001488.1130752'	6month	1	0	0	0
'000001852.1130700'	6month	0	0	0	1
'000002087.1130719'	6month	0	0	0	1
'000001856.1130799'	6month	0	0	0	1
'000002331.1130701'	6month	1	0	0	0
'000001110.1130977'	6month	0	0	0	0
'000002898.1130780'	6month	1	0	0	0
'000001303.1130605'	6month	1	0	0	0
'000001364.1130648'	6month	1	0	0	0
'000001086.1130991'	6month	0	0	1	1
'000001154.1130916'	6month	1	0	0	0
'000001555.1130917'	6month	1	0	0	0
'000001214.1130931'	6month	1	0	0	0
'000001597.1130902'	6month	1	0	0	0
'000005945.1076471'	6month	0	0	0	0
'000001391.1076137'	6month	1	0	0	0
'000005085.1076193'	6month	0	0	0	0
'000001499.1076418'	6month	1	0	0	0
'000004272.1076219'	6month	1	0	0	0
'000003438.1076250'	6month	1	0	0	0
'000004731.1076409'	6month	0	1	0	0
'000002337.1076451'	6month	1	0	0	0
'000001529.1076281'	6month	1	0	0	0
'000003319.1076458'	6month	1	0	0	0
'000004811.1076450'	6month	0	0	0	0
'000005954.1076427'	6month	0	0	0	0
'000002036.1076165'	6month	0	0	0	1
'000001026.1076452'	6month	0	0	0	1
'000002578.1076195'	6month	1	0	0	0
'000005835.1076274'	6month	0	0	0	0
'000004951.1076295'	6month	0	0	0	0
'000004679.1076461'	6month	1	0	0	0
'000004774.1076460'	6month	0	0	1	0
'000003001.1076398'	6month	1	0	0	0
'000001684.1076429'	6month	0	0	0	1
'000003136.1076362'	6month	1	0	0	0
'000005834.1076478'	6month	0	0	0	0
'000004952.1076199'	6month	0	0	0	0
'000002980.1076308'	6month	1	0	0	0
'000004812.1076384'	6month	0	0	0	0
'000004916.1076313'	6month	0	0	0	0
'000005238.1076291'	6month	0	0	0	0
'000001244.1076467'	6month	1	0	0	0
'000004831.1076322'	6month	0	0	0	0
'000001125.1076337'	6month	0	0	0	0
'000003603.1076479'	6month	1	0	0	0
'000001267.1076341'	6month	1	0	0	0
'000002656.1076186'	6month	1	0	0	0
'000004818.1076391'	6month	0	0	0	0
'000004642.1076446'	6month	1	0	0	0
'000002437.1076448'	6month	1	0	0	0
'000001332.1076408'	6month	1	0	0	0
'000002628.1076328'	6month	1	0	0	0
'000006756.1053804'	6month	0	2	0	0
'000006808.1053880'	6month	0	2	0	0
'000006009.1053723'	6month	0	0	0	0
'000002142.1053796'	6month	0	0	0	1
'000006726.1053805'	6month	0	2	0	0
'000006114.1053803'	6month	0	2	0	0
'000004603.1053747'	6month	1	0	0	0
'000006065.1053734'	6month	0	2	0	0
'000005638.1053718'	6month	0	0	0	0
'000006742.1053952'	6month	0	2	0	0
'000005889.1053949'	6month	0	0	0	0
'000004061.1053873'	6month	1	0	0	0
'000003317.1053879'	6month	1	0	0	0
'000002341.1053910'	6month	1	0	0	0
'000002342.1053720'	6month	1	0	0	0
'000003079.1053831'	6month	1	0	0	0
'000002370.1053809'	6month	1	0	0	0
