"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
1632,0,9,4489350.3,"Amz11inf.418832",156176169,1629418,1296983,1,1
1630,0,9,4489352.3,"Amz13chld.418761",186932475,1951538,1581253,1,1
1628,0,9,4489354.3,"Amz15chld.418538",206802267,2122690,2035736,1,1
1626,0,9,4489356.3,"Amz17chld.418460",242369282,2480264,2114845,1,1
1624,0,9,4489358.3,"Amz19chld.418410",238395966,2449900,1624669,1,1
1622,0,9,4489360.3,"Amz1teenF.418404",374970975,3842010,2577191,1,1
1620,0,9,4489362.3,"Amz21chld.418413",136282352,1397401,870272,1,1
1618,0,9,4489364.3,"Amz23chld.418722",179959525,1855290,1590850,1,1
1616,0,9,4489366.3,"Amz25chld.418466",208959522,2128126,1571090,1,1
1614,0,9,4489368.3,"Amz27chld.418705",233395111,2396225,1918360,1,1
1612,0,9,4489370.3,"Amz29adlt.418370",267951168,2732271,1438285,1,1
1610,0,9,4489372.3,"Amz2infF.418430",156027609,1656648,1589560,1,1
1608,0,9,4489374.3,"Amz31adlt.418759",147589770,1522604,1135244,1,1
1606,0,9,4489376.3,"Amz33eld.418866",53019989,546676,297607,1,1
1604,0,9,4489378.3,"Amz3chldF3.418426",142188623,1450138,989916,1,1
1602,0,9,4489380.3,"Amz3chldM2.418434",180825529,1837506,1270797,1,1
1600,0,9,4489382.3,"Amz4chldM1.418767",122493209,1255888,1001427,1,1
1598,0,9,4489384.3,"Amz5chldF1.418757",230110442,2372603,1862739,1,1
1596,0,9,4489386.3,"Amz5chldM.418822",393559513,4010037,3058521,1,1
1594,0,9,4489388.3,"Amz5teenF.418519",190251601,1937531,1356699,1,1
1592,0,9,4489390.3,"Amz6eldF.418597",75506375,768191,569236,1,1
1590,0,9,4489392.3,"Amz6teen.418569",191905687,1957125,869553,1,1
1588,0,9,4489394.3,"Amz7eldM.418423",137837920,1405544,1062805,1,1
1586,0,9,4489396.3,"AmzC10adltF1.418809",186543706,1928557,1614935,1,1
1581,0,9,4489401.3,"AmzC12adltF.418473",125111535,1300407,925715,1,1
1579,0,9,4489403.3,"AmzC13babyF.418665",260957212,2653050,1157179,1,1
1577,0,9,4489405.3,"AmzC15infF.418468",225751044,2333095,2103099,1,1
1575,0,9,4489407.3,"AmzC17chldM.418400",143484984,1490489,78244,1,1
1573,0,9,4489409.3,"AmzC19chldM.418646",212204096,2146911,1547799,1,1
1571,0,9,4489411.3,"AmzC1babyF2.418461",200538811,2087568,1880469,1,1
1569,0,9,4489413.3,"AmzC21chldM.418442",306983566,3165789,2286183,1,1
1567,0,9,4489415.3,"AmzC23chldM.418498",491520584,5089100,3549122,1,1
1565,0,9,4489417.3,"AmzC25teenF.418537",457716767,4742113,3576811,1,1
1563,0,9,4489419.3,"AmzC27teenF.418647",266900382,2716116,2045429,1,1
1561,0,9,4489421.3,"AmzC29adltF.418659",345758777,3535794,2416731,1,1
1559,0,9,4489423.3,"AmzC2babyF.418803",125807611,1358143,1230972,1,1
1557,0,9,4489425.3,"AmzC2chldM2.418482",152963722,1584838,1357259,1,1
1555,0,9,4489427.3,"AmzC31adltF.418549",100821001,1027251,639453,1,1
1553,0,9,4489429.3,"AmzC33adltF.418672",118134408,1217336,785149,1,1
1551,0,9,4489431.3,"AmzC3adltM.418849",51665804,541179,281770,1,1
1549,0,9,4489433.3,"AmzC3chldM.418539",126766188,1297613,48808,1,1
1547,0,9,4489435.3,"AmzC4chldF.418677",202655791,2083989,1632080,1,1
1545,0,9,4489437.3,"AmzC5adltF.418439",153207243,1579407,1136474,1,1
1543,0,9,4489439.3,"AmzC5chldM.418590",119452071,1284433,1210117,1,1
1541,0,9,4489441.3,"AmzC6chldM1.418778",204858821,2109786,1059981,1,1
1539,0,9,4489443.3,"AmzC7adltF.418582",223710512,2312300,1842926,1,1
1537,0,9,4489445.3,"AmzC8adltM.418389",205466150,2108472,1400597,1,1
1535,0,9,4489447.3,"AmzC9adltF.418726",242468343,2506031,2102803,1,1
1533,0,9,4489449.3,"F3T1pre4.418699",210754503,2113489,1486700,1,1
1531,0,9,4489451.3,"F4T1pre4.418431",184473237,1870278,1596829,1,1
1528,0,9,4489454.3,"TS109.418691",189942220,1932618,1723479,1,1
1526,0,9,4489456.3,"TS111.418684",253072392,2605571,1873055,1,1
1524,0,9,4489459.3,"TS128.418470",213924621,2182658,1825697,1,1
1522,0,9,4489461.3,"TS13.418619",163573583,1653023,1136396,1,1
1520,0,9,4489463.3,"TS15.418765",181912359,1842589,1443900,1,1
1518,0,9,4489465.3,"TS164.418396",210803315,2157840,1747845,1,1
1516,0,9,4489467.3,"TS184.418577",228141986,2369338,2081409,1,1
1514,0,9,4489469.3,"TS186.418605",228910877,2345915,1847180,1,1
1512,0,9,4489471.3,"TS194.418607",282491264,2901446,2445212,1,1
1509,0,9,4489475.3,"TS25.418407",169859568,1717287,1211410,1,1
1507,0,9,4489477.3,"TS27.418766",192584389,1960484,1246681,1,1
1506,0,9,4489478.3,"TS3.418472",210749271,2157598,1796006,1,1
1505,0,9,4489479.3,"TS4.418810",211345549,2164843,1872666,1,1
1504,0,9,4489480.3,"TS5.418546",78753635,824557,684668,1,1
1503,0,9,4489481.3,"TS6.418642",232718381,2398340,1982466,1,1
1502,0,9,4489482.3,"TS7.418860",212906742,2182695,1673317,1,1
1501,0,9,4489483.3,"TS8.418379",327834602,3333327,2506656,1,1
1500,0,9,4489484.3,"TS9.418446",167859631,1703803,1393443,1,1
1499,0,9,4489485.3,"USBld1.418516",253348746,2554343,2381503,1,1
1497,0,9,4489487.3,"USBldChld10.418660",185085331,1866066,1762487,1,1
1495,0,9,4489489.3,"USBldChld4.418528",209964637,2112332,1354788,1,1
1493,0,9,4489491.3,"USBldChld7.418488",243373116,2431728,2261135,1,1
1491,0,9,4489493.3,"USBldInf3.418459",193690398,2034355,1883049,1,1
1489,0,9,4489495.3,"USchp18Child.418782",162491728,1636388,1471842,1,1
1487,0,9,4489497.3,"USchp1Child.418697",180699363,1836687,1563319,1,1
1485,0,9,4489499.3,"USchp25Child.418345",213654741,2148589,1782364,1,1
1483,0,9,4489501.3,"USchp33ChildA.418742",258653250,2619906,2183112,1,1
1481,0,9,4489503.3,"USchp33Mom.418698",212990910,2141275,1793181,1,1
1479,0,9,4489505.3,"USchp35Mom.418515",228307468,2301468,1919532,1,1
1477,0,9,4489507.3,"USchp36Mom.418718",249541289,2552107,1855756,1,1
1475,0,9,4489509.3,"USchp3Mom.418727",226116991,2280997,1626698,1,1
1473,0,9,4489511.3,"USchp41Mom.418801",200214851,2018139,1912991,1,1
1471,0,9,4489513.3,"USchp4Mom.418666",149998168,1520026,1287318,1,1
1469,0,9,4489515.3,"USchp60Child.418703",247923759,2574262,2343547,1,1
1467,0,9,4489517.3,"USinfTw1.1.418752",214412189,2196852,2016393,1,1
1465,0,9,4489519.3,"USinfTw10.1.418518",213368607,2240283,1881264,1,1
1463,0,9,4489521.3,"USinfTw11.1.418800",214288938,2236217,1895962,1,1
1461,0,9,4489523.3,"USinfTw12.1.418649",216372464,2315105,2058758,1,1
1459,0,9,4489525.3,"USinfTw13.1.418775",190321940,1965643,1746935,1,1
1457,0,9,4489527.3,"USinfTw15.1.418587",201406268,2071171,1655627,1,1
1455,0,9,4489529.3,"USinfTw16.1.418781",169816742,1719822,1480150,1,1
1453,0,9,4489531.3,"USinfTw17.1.418390",176718451,1850613,1625741,1,1
1451,0,9,4489533.3,"USinfTw18.2.418796",174612790,1805101,1560613,1,1
1449,0,9,4489536.3,"USinfTw19.2.418595",131950320,1351583,1211135,1,1
1447,0,9,4489538.3,"USinfTw2.2.418678",180568086,1851788,1484084,1,1
1445,0,9,4489540.3,"USinfTw20.2.418696",191101595,1915077,1458293,1,1
1443,0,9,4489542.3,"USinfTw21.2.418540",143255433,1485000,843191,1,1
1441,0,9,4489544.3,"USinfTw3.2.418812",169195587,1800871,1672721,1,1
1439,0,9,4489546.3,"USinfTw4.2.418348",153914667,1616729,1487142,1,1
1437,0,9,4489548.3,"USinfTw5.2.418695",172155649,1790040,1493210,1,1
1435,0,9,4489550.3,"USinfTw6.2.418594",118605479,1259319,1154024,1,1
1433,0,9,4489552.3,"USinfTw7.2.418463",188012528,1933211,1782976,1,1
1431,0,9,4489554.3,"USinfTw8.2.418804",155949112,1616614,1409752,1,1
1429,0,9,4489556.3,"USinfTw9.2.418769",188928148,1970636,1712847,1,1
1427,0,9,4489559.3,"USygt1.M.418373",148551808,1495145,1277763,1,1
1425,0,9,4489561.3,"USygt1.T2.418785",148686077,1510121,1109922,1,1
1423,0,9,4489563.3,"USygt10.T1.418683",244873362,2467085,1896463,1,1
1421,0,9,4489565.3,"USygt11.F.418661",360643121,3653256,2854779,1,1
1419,0,9,4489567.3,"USygt11.T1.418632",236236126,2382176,2027280,1,1
1417,0,9,4489570.3,"USygt12.F.418502",69038620,696570,579631,1,1
1415,0,9,4489573.3,"USygt12.T1.418615",339354306,3433938,2816437,1,1
1413,0,9,4489575.3,"USygt13.F.418411",151903879,1517627,1135199,1,1
1411,0,9,4489577.3,"USygt13.T1.418495",157689418,1579042,1062611,1,1
1409,0,9,4489580.3,"USygt14.F.418375",273625560,2761651,2161127,1,1
1407,0,9,4489583.3,"USygt14.T1.418853",157219221,1602196,1296560,1,1
1405,0,9,4489585.3,"USygt15.F.418688",347800610,3511638,2440127,1,1
1403,0,9,4489588.3,"USygt15.T1.418779",138576707,1399440,1181765,1,1
1401,0,9,4489590.3,"USygt16.B1.418368",286837884,2883956,1644776,1,1
1399,0,9,4489592.3,"USygt16.M.418462",286523203,2880955,2426379,1,1
1397,0,9,4489594.3,"USygt16.T2.418435",224608758,2288628,1801011,1,1
1395,0,9,4489596.3,"USygt17.T1.418600",207863831,2102699,1713994,1,1
1393,0,9,4489598.3,"USygt18.M.418867",275867405,2784423,2098638,1,1
1391,0,9,4489600.3,"USygt18.T2.418629",206892071,2072259,1882674,1,1
1389,0,9,4489602.3,"USygt19.M.418397",233794831,2350806,1249099,1,1
1387,0,9,4489604.3,"USygt19.T2.418432",241473648,2429155,1717114,1,1
1385,0,9,4489606.3,"USygt20.F.418339",277263954,2802877,2171169,1,1
1383,0,9,4489608.3,"USygt20.T1.418564",259278342,2603921,2142136,1,1
1381,0,9,4489610.3,"USygt21.B1.418713",241832556,2435347,1994550,1,1
1379,0,9,4489612.3,"USygt21.M.418797",302501127,3047475,2577274,1,1
1377,0,9,4489614.3,"USygt21.T2.418484",270021767,2700199,1871863,1,1
1375,0,9,4489616.3,"USygt22.M.418388",153160280,1535794,1185384,1,1
1373,0,9,4489618.3,"USygt22.T2.418493",129631763,1310994,941862,1,1
1371,0,9,4489620.3,"USygt23.M.418612",180006856,1809615,1438637,1,1
1369,0,9,4489622.3,"USygt23.T2.418458",123045034,1250675,1011461,1,1
1367,0,9,4489624.3,"USygt24.T1.418841",183822066,1838259,1558792,1,1
1365,0,9,4489626.3,"USygt25.B1.418792",309564445,3137741,2459869,1,1
1363,0,9,4489628.3,"USygt25.F.418747",265657687,2687856,2250382,1,1
1361,0,9,4489644.3,"USygt25.S1.418338",243334030,2475064,2043690,1,1
1359,0,9,4489652.3,"USygt25.T2.418341",188285020,1893776,1298725,1,1
1357,0,9,4489660.3,"USygt26.T1.418758",192399256,1931350,1227126,1,1
1355,0,9,4489666.3,"USygt27.F.418639",216310798,2188169,1771884,1,1
1353,0,9,4489670.3,"USygt27.T1.418441",147023004,1479688,968988,1,1
1351,0,9,4489672.3,"USygt28.M.418808",253617126,2586194,2156551,1,1
1349,0,9,4489674.3,"USygt28.T2.418449",307121291,3111112,1595378,1,1
1348,0,9,4489675.3,"USygt29.M.418603",176222894,1776769,1450495,1,1
1346,0,9,4489677.3,"USygt29.T2.418768",271472624,2742223,2379957,1,1
1345,0,9,4489678.3,"USygt3.M.418496",43131397,439134,363235,1,1
1344,0,9,4489679.3,"USygt3.T1.418429",146494078,1476625,1225879,1,1
1343,0,9,4489680.3,"USygt3.T2.418807",267081544,2689557,1904296,1,1
1342,0,9,4489681.3,"USygt30.F.418729",244387786,2477928,1988397,1,1
1341,0,9,4489682.3,"USygt30.M.418398",166367715,1711070,1284696,1,1
1340,0,9,4489683.3,"USygt30.T1.418821",327063549,3347572,2408240,1,1
1338,0,9,4489685.3,"USygt31.M.418440",180969071,1829356,1283519,1,1
1334,0,9,4489689.3,"USygt32.S1.418608",159643645,1603219,1215748,1,1
1333,0,9,4489690.3,"USygt32.T1.418708",323064353,3264505,2364898,1,1
1332,0,9,4489692.3,"USygt32.T2.418437",235889965,2370744,1855436,1,1
1331,0,9,4489693.3,"USygt33.M.418638",286514991,2893057,2272648,1,1
1328,0,9,4489696.3,"USygt34.F.418402",302221384,3062548,2322335,1,1
1327,0,9,4489697.3,"USygt34.M.418823",130051266,1309072,1154138,1,1
1326,0,9,4489698.3,"USygt34.T1.418567",261050233,2640775,1874256,1,1
1325,0,9,4489701.3,"USygt35.M.418364",175673444,1790499,1352538,1,1
1324,0,9,4489702.3,"USygt35.T1.418610",232297410,2387500,1778734,1,1
1323,0,9,4489703.3,"USygt35.T2.418689",168762789,1717665,1420021,1,1
1322,0,9,4489704.3,"USygt36.M.418734",184355263,1866175,1508359,1,1
1321,0,9,4489705.3,"USygt36.T1.418651",237545652,2388512,2002898,1,1
1320,0,9,4489706.3,"USygt36.T2.418655",183055930,1842765,1565594,1,1
1319,0,9,4489707.3,"USygt37.B1.418521",193178237,1930184,1266675,1,1
1318,0,9,4489708.3,"USygt37.F.418676",239799139,2416930,1682885,1,1
1317,0,9,4489709.3,"USygt37.M.418793",225922718,2289180,1694416,1,1
1316,0,9,4489712.3,"USygt37.T1.418580",308590587,3104739,1937859,1,1
1315,0,9,4489714.3,"USygt37.T2.418585",259764019,2620289,2001430,1,1
1314,0,9,4489717.3,"USygt38.F.418465",173395523,1754882,1349776,1,1
1313,0,9,4489718.3,"USygt38.M.418740",164267386,1650221,1318936,1,1
1312,0,9,4489719.3,"USygt38.T1.418654",202495833,2031275,1822585,1,1
1311,0,9,4489720.3,"USygt38.T2.418456",152675761,1533973,1297812,1,1
1310,0,9,4489721.3,"USygt39.F.418756",172654612,1737469,1457813,1,1
1309,0,9,4489722.3,"USygt39.M.418483",149381412,1512313,1240093,1,1
1308,0,9,4489723.3,"USygt39.T1.418416",201172960,2027934,1376396,1,1
1306,0,9,4489725.3,"USygt4.F.418451",201370326,2027014,1873082,1,1
1305,0,9,4489726.3,"USygt4.M.418367",215111299,2165571,1606261,1,1
1304,0,9,4489727.3,"USygt4.T1.418764",146789387,1480292,1240153,1,1
1303,0,9,4489728.3,"USygt4.T2.418732",213454646,2164454,1876745,1,1
1302,0,9,4489729.3,"USygt40.F.418369",156032787,1583671,1228504,1,1
1301,0,9,4489730.3,"USygt40.M.418504",189619045,1922139,1619293,1,1
1300,0,9,4489731.3,"USygt40.T1.418834",201131336,2027438,1351831,1,1
1299,0,9,4489732.3,"USygt40.T2.418474",220719104,2217097,1713354,1,1
1298,0,9,4489733.3,"USygt41.B1.418570",170123822,1708549,1445181,1,1
1297,0,9,4489734.3,"USygt41.F.418802",210145296,2121598,1734683,1,1
1296,0,9,4489735.3,"USygt41.M.418492",167746586,1697177,1484367,1,1
1295,0,9,4489736.3,"USygt41.T1.418847",191328793,1914716,1538547,1,1
1294,0,9,4489737.3,"USygt41.T2.418682",183275859,1855499,1378786,1,1
1293,0,9,4489738.3,"USygt42.F.418628",198175081,1984319,1466282,1,1
1292,0,9,4489739.3,"USygt42.M.418663",197243063,1985904,1581244,1,1
1291,0,9,4489740.3,"USygt42.T1.418811",203698693,2047619,1595760,1,1
1290,0,9,4489741.3,"USygt42.T2.418716",164319401,1651221,1351588,1,1
1289,0,9,4489742.3,"USygt43.F.418760",227355368,2280126,1377927,1,1
1288,0,9,4489743.3,"USygt43.M.418520",176946867,1780438,1334494,1,1
1287,0,9,4489744.3,"USygt43.T1.418816",164220017,1642941,1206184,1,1
1286,0,9,4489745.3,"USygt43.T2.418799",206329211,2084751,1409165,1,1
1285,0,9,4489746.3,"USygt44.B1.418371",202864808,2041497,1271447,1,1
1284,0,9,4489747.3,"USygt44.F.418709",175569051,1780180,1496822,1,1
1283,0,9,4489748.3,"USygt44.M.418360",247379229,2485822,1815040,1,1
1282,0,9,4489749.3,"USygt44.T1.418626",95893218,975151,668630,1,1
1281,0,9,4489750.3,"USygt44.T2.418648",184755541,1855348,1578366,1,1
1280,0,9,4489751.3,"USygt45.F.418753",226930221,2285990,1927122,1,1
1279,0,9,4489752.3,"USygt45.M.418662",103865610,1056410,874830,1,1
1278,0,9,4489753.3,"USygt45.T1.418763",169607923,1723307,1449498,1,1
1277,0,9,4489754.3,"USygt45.T2.418535",204644637,2072176,1768674,1,1
1276,0,9,4489755.3,"USygt46.F.418450",236417567,2392357,1909245,1,1
1275,0,9,4489756.3,"USygt46.M.418453",206056567,2055752,1577350,1,1
1274,0,9,4489757.3,"USygt46.T1.418865",170335922,1712889,1312879,1,1
1273,0,9,4489758.3,"USygt46.T2.418679",235905849,2371310,1846151,1,1
1272,0,9,4489759.3,"USygt47.F.418643",224959093,2265683,1772799,1,1
1271,0,9,4489760.3,"USygt47.M.418401",232784947,2334238,1730600,1,1
1270,0,9,4489761.3,"USygt47.T1.418692",179416113,1804170,1382842,1,1
1269,0,9,4489762.3,"USygt47.T2.418762",164965557,1654491,1305089,1,1
1268,0,9,4489763.3,"USygt48.F.418551",208812169,2103978,1478185,1,1
1267,0,9,4489764.3,"USygt48.M.418794",177519256,1802774,1518707,1,1
1266,0,9,4489765.3,"USygt48.T1.418674",188544919,1916250,1158995,1,1
1265,0,9,4489766.3,"USygt48.T2.418547",171110481,1719198,1587702,1,1
1264,0,9,4489767.3,"USygt49.B1.418842",165121182,1683158,1225166,1,1
1263,0,9,4489768.3,"USygt49.F.418818",192408803,1941247,1504837,1,1
1262,0,9,4489769.3,"USygt49.M.418347",186930189,1867949,1587809,1,1
1260,0,9,4489771.3,"USygt49.T2.418670",301690262,3065588,2553982,1,1
1259,0,9,4489772.3,"USygt5.F.418630",262717631,2639798,1861045,1,1
1258,0,9,4489773.3,"USygt5.M.418357",267919609,2699949,1907286,1,1
1257,0,9,4489774.3,"USygt5.T1.418573",231452774,2330971,1881886,1,1
1255,0,9,4489776.3,"USygt50.F.418499",235402486,2386134,1712437,1,1
1252,0,9,4489779.3,"USygt50.T2.418852",184653908,1859579,1599780,1,1
1251,0,9,4489780.3,"USygt51.F.418349",183274863,1845689,1432770,1,1
1250,0,9,4489781.3,"USygt51.M.418844",203091793,2042412,1566117,1,1
1248,0,9,4489783.3,"USygt51.T2.418469",227096835,2283198,107971,1,1
1247,0,9,4489784.3,"USygt52.F.418555",277211051,2801542,2222783,1,1
1244,0,9,4489787.3,"USygt52.T2.418721",192583950,1947461,1698304,1,1
1243,0,9,4489788.3,"USygt53.F.418830",247849632,2491134,1968504,1,1
1242,0,9,4489789.3,"USygt53.M.418452",211967516,2125943,1761775,1,1
1241,0,9,4489790.3,"USygt53.T1.418664",227301905,2295074,1931544,1,1
1240,0,9,4489792.3,"USygt53.T2.418455",235244247,2371446,1983441,1,1
1231,0,9,4489801.3,"USygt7.M.418598",134245607,1352005,1185737,1,1
1229,0,9,4489803.3,"USygt7.T2.418392",149289071,1507758,1200429,1,1
1227,0,9,4489805.3,"USygt8.M.418616",165311689,1663687,1341547,1,1
1225,0,9,4489807.3,"USygt8.T2.418755",168594464,1695608,1099510,1,1
1223,0,9,4489809.3,"USygt9.F.418438",237347117,2414243,1979246,1,1
1222,0,9,4489810.3,"USygt9.M.418560",291000289,2919525,1547816,1,1
1221,0,9,4489811.3,"USygt9.T1.418606",322513494,3236960,2113061,1,1
1220,0,9,4489812.3,"USygt9.T2.418652",215702426,2186202,1778770,1,1
1219,0,9,4489813.3,"h101A.3.418669",179590382,1841648,1518044,1,1
1218,0,9,4489814.3,"h101B.3.418378",203338113,2098730,1704638,1,1
1217,0,9,4489815.3,"h101M.418586",211244665,2137692,1393536,1,1
1216,0,9,4489816.3,"h101S.418475",224227556,2283468,1543278,1,1
1215,0,9,4489817.3,"h10A.2.418427",103998452,1084148,1028458,1,1
1214,0,9,4489818.3,"h10M.418706",133429476,1339934,1075184,1,1
1213,0,9,4489819.3,"h121A.1.418420",167524338,1735507,1534449,1,1
1152,0,9,4489880.3,"h273M.418507",256260518,2607117,1905441,1,1
1151,0,9,4489881.3,"h279A.2.418836",167841218,1756605,1654323,1,1
1150,0,9,4489882.3,"h279B.2.418514",172861937,1801890,1724517,1,1
1148,0,9,4489884.3,"h279S.418358",183625396,1888937,1699712,1,1
1147,0,9,4489885.3,"h301A.1.418425",81966440,866943,841109,1,1
1145,0,9,4489887.3,"h301M.1.418627",160502329,1608771,1140431,1,1
1140,0,9,4489892.3,"h35S.418568",194372117,1996395,1670044,1,1
1136,0,9,4489896.3,"h37S.418552",138883686,1398372,1077217,1,1
1135,0,9,4489897.3,"h47A.1.418772",119816696,1249406,1109784,1,1
1133,0,9,4489899.3,"h47M.418653",206029238,2103172,1773085,1,1
1132,0,9,4489900.3,"h47S.418625",187619759,1941997,1641744,1,1
1131,0,9,4489901.3,"h60A.2.418856",215042799,2207172,1882783,1,1
1129,0,9,4489903.3,"h60M.418694",189332155,1921098,1265007,1,1
1128,0,9,4489904.3,"h60S.418532",210632617,2145599,1623334,1,1
1127,0,9,4489905.3,"h68A.4.418806",207380510,2093719,1686362,1,1
1126,0,9,4489906.3,"h68B.4.418611",85299416,866690,784984,1,1
1125,0,9,4489907.3,"h68M.418773",278640325,2795957,1892863,1,1
1124,0,9,4489908.3,"h78A.4.418851",165406798,1684584,1522284,1,1
1123,0,9,4489909.3,"h78B.4.418738",170848869,1725027,1483704,1,1
1122,0,9,4489910.3,"h78M.418725",188821866,1922687,1502037,1,1
1121,0,9,4489911.3,"h78S.418712",194310089,1983226,1397491,1,1
1120,0,9,4489912.3,"h85A.1.418700",138740178,1422400,1193490,1,1
1119,0,9,4489913.3,"h85B.1.418749",197297226,2044739,1899418,1,1
1118,0,9,4489914.3,"h85M.418596",200586066,2046707,1411133,1,1
1117,0,9,4489915.3,"h85S.418346",178877376,1818312,1417745,1,1
1115,0,9,4489917.3,"h95B.1.418735",158316433,1653844,1552349,1,1
1114,0,9,4489918.3,"h95M.418831",219934513,2226651,1471477,1,1
1113,0,9,4489919.3,"h95S.418544",174806583,1776338,1240185,1,1
1112,0,9,4489920.3,"h9A.5.418658",223168231,2281692,1775723,1,1
1111,0,9,4489921.3,"h9B.5.418656",166094301,1718038,1547334,1,1
1110,0,9,4489922.3,"h9M.418588",193751063,1986734,1670626,1,1
1109,0,9,4489923.3,"h9S.418789",242568450,2483925,2006797,1,1
1106,0,9,4489926.3,"h278M.418667",143359865,1437159,852502,1,1
