	GH1	GH10	GH100	GH101	GH102	GH103	GH104	GH105	GH106	GH107	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH119	GH12	GH120	GH121	GH123	GH124	GH125	GH126	GH127	GH128	GH129	GH13	GH130	GH14	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH22	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH49	GH5	GH50	GH51	GH52	GH53	GH54	GH55	GH56	GH57	GH58	GH59	GH6	GH61	GH62	GH63	GH64	GH65	GH66	GH67	GH68	GH70	GH71	GH73	GH74	GH75	GH76	GH77	GH78	GH79	GH8	GH80	GH81	GH82	GH84	GH85	GH86	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99
DD98	0.972523033619	0.927804768085	0.00135795690585	0.0396754480898	0.0741237178445	0.0115657225251	0.0207781996578	4.09490156174	2.02546453476	0.0478587076068	0.0568192824721	5.71875476837	0.0394166782498	0.647104263306	0.00032012059819	0.204601481557	0.0462008714676	0.0251551251858	1.6093338728	0.26501250267	0.573152780533	0.000144907826325	0.0172868277878	0.130098879337	0.196233928204	0.686627447605	0.00537201343104	0.859785199165	0.00524963065982	2.73816609383	0.0560165271163	0.120727457106	5.78883075714	2.36224126816	0.00371904671192	0.2190117836	1.8300396204	0.00085475249216	2.41526913643	0.0104981679469	14.1612606049	5.42548274994	0.0478587076068	2.36456513405	0.848433494568	1.36971521378	0.80932611227	0.844208955765	5.60962200165	3.7302904129	8.19283103943	1.64014363289	3.20365524292	1.86080241203	2.26107263565	1.45196259022	1.70786702633	0.0746752545238	0.652167975903	0.122728928924	1.02555561066	0.758348941803	12.7411708832	0.00537201343104	9.91177366814e-05	0.0352823957801	0.0198714267462	0.00544446706772	0.0481063760817	2.37384867668	0.483959674835	1.77098786831	0.000217361739487	0.552915275097	5.35439758096e-05	0.172316938639	5.18590713909e-05	0.626124441624	0.000297353224596	0.0419707521796	0.00290422537364	0.000217361739487	0.0183624643832	0.627483427525	0.00174800411332	0.703266263008	0.297384381294	0.437563210726	0.00528522394598	0.00217361748219	0.000297193793813	1.90621876717	0.259330838919	0.000436005560914	2.41871666908	1.14817142487	3.98099207878	0.0683715566993	0.223795175552	0.000256593455561	0.00727096013725	0.0332730039954	0.353028088808	0.181208401918	0.0319299548864	0.00245646853	2.82317590714	1.19811010361	0.314722687006	0.132264405489	6.54382371902	0.212302029133	0.392368972301	3.27134251595	4.67723751068	0.0584713593125	1.25527632236
DD97	0.611275732517	1.78655636311	0.000810626370367	0.0348511449993	0.0435721725225	0.0235804710537	0.0171481668949	2.04406189919	1.39524507523	0.01277939789	0.0451992414892	3.54377889633	0.0182062778622	0.219188481569	0.000319778569974	0.0915640518069	0.0515397004783	0.0331710875034	1.95428967476	0.0862926915288	0.174187496305	0.000340215454344	0.0118176629767	0.0425985082984	0.0538679920137	0.242557808757	0.00463865045458	0.370225220919	0.00933183915913	2.45095014572	0.0441244356334	0.0443408191204	7.20297384262	0.874504089355	0.00368916522712	0.137543961406	0.653732478619	0.00702381459996	0.90695142746	0.0226455423981	7.13525676727	1.95715081692	0.0127838691697	3.50520896912	0.588534593582	3.1089951992	1.10531544685	0.354651719332	5.32272720337	1.41268217564	7.12368535995	2.03501701355	2.56966662407	1.46247196198	0.851998507977	1.91654384136	1.3746355772	0.0585078075528	0.282375276089	0.0759109631181	1.3136048317	0.253761321306	12.865694046	0.00463865045458	0.000212688464671	0.00499782757834	0.0042029377073	0.00480875838548	0.0164294019341	4.53223323822	0.139217957854	3.57914066315	0.000510323210619	0.956999540329	9.70804758254e-05	0.0518693253398	8.9600107458e-05	1.05663132668	0.000917030090932	0.0200087260455	0.003405792173	0.000511753256433	0.03236143291	0.277605175972	0.00154721923172	0.262160360813	0.100211456418	0.865582704544	0.00700025400147	0.00514882989228	0.000869230134413	2.57018899918	1.65772140026	0.000949231267441	0.865451455116	1.33627188206	1.33227849007	0.0206724144518	0.792986452579	0.000543034693692	0.00575294112787	0.0179058071226	0.246046125889	0.197490617633	0.0109148044139	0.00840847194195	0.891115903854	0.392474681139	0.158229500055	0.0399819277227	2.45504117012	0.0620490089059	0.842372179031	3.28931164742	4.52184772491	0.036641959101	0.406046241522
DD43	0.151376754045	1.27473461628	0.000229862882407	0.00879406183958	0.0906412005425	0.0140924006701	0.0283421222121	5.35475206375	2.46924471855	0.0685827881098	0.0762352868915	6.13334989548	0.0473765805364	0.838733077049	0.000144232471939	0.0171953272074	0.0061554457061	0.0403625890613	2.22844576836	0.356827199459	0.778180956841	0.000146565551404	0.0238965582103	0.16370972991	0.255649775267	0.849684596062	0.000683045887854	1.14180529118	0.00358737702481	3.657310009	0.0803233757615	0.112060107291	5.09177350998	3.19332432747	0.00100204872433	0.316417455673	2.51860022545	0.00111755612306	2.94201040268	0.00628229696304	17.4271240234	7.17421388626	0.0685827881098	2.59190964699	1.17997562885	0.979335844517	1.22124314308	1.10586750507	7.26775598526	4.98070716858	9.75817298889	2.23721551895	3.94667315483	1.94314002991	3.03770065308	1.99761402607	1.95728838444	0.0797160938382	0.749357283115	0.151311606169	0.823348402977	0.828327715397	16.8879318237	0.000683045887854	0.000125530234072	0.0264100916684	0.0228365026414	0.00075632869266	0.0686537399888	3.50109267235	0.701736688614	2.32086706161	0.000219848327106	0.617005348206	6.38953424641e-05	0.210225895047	9.52189147938e-05	0.835574150085	0.000376590702217	0.0795822516084	0.0018299339572	0.000219848327106	0.000925297208596	0.874473631382	0.000538843974937	0.883000850677	0.409608095884	0.60537147522	0.00263546011411	0.002257254906	0.000376531213988	2.30551695824	0.318710565567	0.000627641798928	3.1886267662	0.937644422054	5.10433578491	0.0921096429229	0.197046890855	0.000316086021485	0.00143344793469	0.0388220846653	0.448778778315	0.284940451384	0.0457462891936	0.0017209778307	3.72526550293	1.66554832458	0.396089047194	0.192163065076	8.75743579865	0.278844535351	0.112066313624	4.40848731995	6.30633068085	0.0751184523106	1.63258445263
DD33	0.475901544094	1.03979337215	0.00108345178887	0.0378686785698	0.0875492841005	0.0300996825099	0.0308917947114	4.43178462982	2.07609891891	0.0549831204116	0.0719202682376	5.69557714462	0.0437041409314	0.697764277458	0.0002806877892	0.0742812827229	0.0286677870899	0.0256973784417	1.77864587307	0.284501105547	0.69520264864	0.000308608461637	0.053045809269	0.142203137279	0.205589175224	0.768776893616	0.00477934349328	1.02387082577	0.00877649337053	2.94751167297	0.063872218132	0.106338694692	5.34273862839	2.70247983932	0.00407369853929	0.295653611422	2.25711512566	0.00197657756507	2.59891629219	0.0155223701149	14.489531517	6.29392623901	0.0549831204116	2.59288406372	1.08081459999	1.02343285084	0.929707050323	0.952353417873	6.01381731033	4.20387935638	8.39245986938	1.7958022356	3.42895793915	1.74208319187	2.64527416229	1.58692777157	1.75011229515	0.0829854160547	0.66977673769	0.172117054462	0.918113529682	0.729177296162	13.4901418686	0.00477934349328	0.000269539683359	0.0212794318795	0.0182762723416	0.00493364781141	0.0551095046103	2.79056429863	0.594348907471	1.87968206406	0.000462912692456	0.561537146568	0.000111919354822	0.17441020906	0.000109589520434	0.740205943584	0.00101277627982	0.047344237566	0.00325990770943	0.000462912692456	0.00463815685362	0.748115181923	0.00173608539626	0.832314014435	0.360248148441	0.483035296202	0.00722698913887	0.00462912721559	0.000648786081001	2.18486404419	0.243907347322	0.00229859468527	2.68705153465	0.962067842484	4.22139596939	0.0742295607924	0.182022348046	0.000712852051947	0.00628333725035	0.0706291049719	0.454956799746	0.335168987513	0.0367068462074	0.00348235550337	3.1320514679	1.4258929491	0.420141428709	0.150733709335	7.39923143387	0.224177658558	0.115929715335	3.70308017731	5.25581502914	0.0643967613578	1.31019496918
DD32	1.09003901482	1.75554299355	0.000930976588279	0.0483394600451	0.0237031728029	0.0135608930141	0.00947908591479	1.6564437151	1.20999109745	0.0066491086036	0.027096318081	3.21536445618	0.0143363019451	0.114797651768	0.000885269255377	0.200340002775	0.053170222789	0.0234894305468	1.82575023174	0.0581115968525	0.0936464294791	0.000272506440524	0.0118941869587	0.0311365500093	0.034644715488	0.15968580544	0.00677189230919	0.237758770585	0.00828323699534	2.13949894905	0.0284037515521	0.0433529764414	7.67857646942	0.549340128899	0.0041568139568	0.0920871719718	0.425368458033	0.00496652023867	0.617056667805	0.0181530416012	5.94956827164	1.25888979435	0.0066520483233	3.44208526611	0.374551653862	3.35976481438	1.03712940216	0.23234064877	5.06295537949	0.851126551628	6.74917316437	1.88596200943	2.51685547829	1.4580873251	0.558202803135	1.83976113796	1.30007946491	0.0357253625989	0.225621566176	0.0543623641133	1.34100973606	0.198899209499	11.5542068481	0.00677189230919	0.000115024442493	0.00468250690028	0.00217095180415	0.00690814526752	0.00808013696223	4.59898710251	0.0718856155872	3.53984236717	0.000408759631682	0.957394957542	6.33172530797e-05	0.0337733663619	5.6759447034e-05	0.99412560463	0.000379518372938	0.0165962483734	0.0073223290965	0.000437176815467	0.0295424163342	0.17918908596	0.00224499450997	0.196713939309	0.0558713264763	0.858255326748	0.0087659927085	0.00410817423835	0.00034711448825	2.41663789749	1.76207137108	0.00071529118577	0.596692323685	1.5247695446	0.802656233311	0.0107565931976	0.834533512592	0.000322887295624	0.00848477054387	0.0141713880002	0.210929140449	0.140462011099	0.00493577122688	0.00640591979027	0.572557985783	0.233783170581	0.128848567605	0.0222472827882	1.48915910721	0.0353606939316	0.972492873669	3.00940179825	4.02299308777	0.0203875992447	0.22416716814
DD2	0.884637534618	0.822914659977	0.00163870980032	0.0488176159561	0.0754694342613	0.0299777220935	0.0271657854319	3.57090187073	1.7091704607	0.0423264279962	0.0596753023565	5.1886882782	0.0359869599342	0.546998083591	0.000403594662202	0.149783179164	0.0519768111408	0.0366627573967	1.39114463329	0.229919806123	0.494789391756	0.000555182574317	0.0163999833167	0.119339577854	0.156892314553	0.61021989584	0.00429210672155	0.757389545441	0.0147049166262	2.37923765182	0.0643579810858	0.0949286743999	5.33210229874	2.07206439972	0.00585143687204	0.244126826525	1.62544906139	0.00195835996419	2.10308003426	0.0162423178554	11.9385147095	4.69813394547	0.0423264279962	2.32748103142	0.807528495789	1.30859076977	0.808976471424	0.723878324032	4.80806207657	3.22451448441	6.75086641312	1.43173468113	2.83355879784	1.50946772099	2.04062128067	1.27315461636	1.48996281624	0.0751360431314	0.597148537636	0.136484488845	0.882008969784	0.621732294559	10.9821243286	0.00429210672155	0.000277522980468	0.0149727202952	0.0141300261021	0.00456969812512	0.042443793267	2.41659998894	0.442331641912	1.56738674641	0.000832773803268	0.435452342033	0.00012325719581	0.135948389769	0.000180108778295	0.560922205448	0.000832568970509	0.0554723702371	0.00476121390238	0.000858692917973	0.0168900601566	0.568492472172	0.0022836830467	0.657348752022	0.26197513938	0.378314673901	0.0107609964907	0.00858692917973	0.000712795357686	1.95851302147	0.339548259974	0.00146408798173	2.03105545044	1.03763771057	3.42771315575	0.0577297024429	0.164837256074	0.000683652760927	0.00917719770223	0.0370146408677	0.351629734039	0.217117443681	0.0283130295575	0.0044175228104	2.4452996254	1.06643617153	0.299721747637	0.128238484263	5.58082962036	0.170862391591	0.26228171587	2.88310074806	4.01345396042	0.0571766346693	1.02069723606
DD4	0.101718254387	1.47443139553	0.000326181965647	0.00554661592469	0.0871300771832	0.00577965332195	0.0288937967271	6.17108488083	2.67656183243	0.0798964723945	0.0830646827817	6.47201728821	0.0542247146368	0.901697397232	5.71505370317e-05	0.0186254847795	0.00664290972054	0.0109218573198	2.57357478142	0.40442237258	0.885144591331	6.48056593491e-05	0.0270542576909	0.190169647336	0.293915629387	0.885808348656	0.000348216679413	1.27375555038	0.00158758531325	4.1021361351	0.087315775454	0.113797202706	5.32941389084	3.55892491341	0.000534073566087	0.33549502492	2.82638311386	0.000457436486613	3.27132058144	0.00328885298222	19.5325527191	7.87112474442	0.0798964723945	2.72515702248	1.31139314175	0.984378278255	1.26550710201	1.20582091808	8.28658294678	5.55002355576	10.8844671249	2.55907964706	4.37513446808	2.18026900291	3.44972229004	2.27073812485	2.07604622841	0.0634915232658	0.829629302025	0.145520061255	0.866152405739	0.930104970932	19.119934082	0.000348216679413	5.16040454386e-05	0.027359103784	0.0266213566065	0.000380619516363	0.0799212232232	3.62600922585	0.802085876465	2.60202765465	9.72084962996e-05	0.704779267311	2.58020227193e-05	0.241907551885	3.34862234013e-05	0.9031047225	0.000154812136316	0.0684259384871	0.000712469860446	9.72084962996e-05	0.00163204653654	0.996778666973	0.000366633117665	0.982795119286	0.457023262978	0.696948349476	0.00121682125609	0.000972084933892	0.000154812136316	2.50772237778	0.285123020411	0.000207017394132	3.58800387383	0.958707094193	5.67615795135	0.106773227453	0.221306324005	0.000129010120872	0.00133626291063	0.0299326907843	0.47390806675	0.280377060175	0.053275115788	0.000880826963112	4.23262548447	1.85973143578	0.437279850245	0.217420652509	9.75751972198	0.32064640522	0.0811056420207	4.99564123154	7.04722309113	0.0842576622963	1.85536015034
DD6	0.817032456398	0.979487717152	0.00128723110538	0.0384603366256	0.0749150067568	0.0235324446112	0.0254387240857	3.98562145233	1.89372074604	0.047671597451	0.0602154098451	5.45962142944	0.0431494265795	0.592037022114	0.000444696197519	0.189364731312	0.0552345179021	0.0255520306528	1.62320518494	0.265792787075	0.553349912167	0.00030910994974	0.0180297698826	0.12724904716	0.177129760385	0.629634380341	0.0042536361143	0.805448353291	0.00862683169544	2.68057703972	0.0567212849855	0.0947065576911	5.47347593307	2.25595808029	0.00392522336915	0.242603465915	1.75596857071	0.00159820530098	2.20935130119	0.01394957304	13.4661779404	5.10121250153	0.0476739294827	2.38655090332	0.8785546422	1.25594544411	0.819569289684	0.748065650463	5.51902484894	3.55227780342	7.54094076157	1.65342438221	3.15706086159	1.65150010586	2.24145412445	1.4707698822	1.56599497795	0.0710304304957	0.598510086536	0.117304727435	0.910757064819	0.66617590189	12.3442564011	0.0042536361143	0.000196745037101	0.0163982715458	0.0158372465521	0.00440819142386	0.0479564368725	2.4984292984	0.478856921196	1.81629300117	0.000463664910058	0.505851626396	9.13918993319e-05	0.151045456529	8.66471091285e-05	0.630211532116	0.00072136381641	0.0432314313948	0.00431802170351	0.000479573907796	0.0286099798977	0.642049491405	0.00189091113862	0.682667970657	0.273447930813	0.457392126322	0.00714032817632	0.00490221055225	0.000524627452251	2.06564188004	0.32416164875	0.000878161226865	2.22957539558	1.11073029041	3.79866623878	0.0641568005085	0.205147832632	0.000575768470298	0.00721794553101	0.0218823757023	0.355940073729	0.184228882194	0.0318366847932	0.00341609795578	2.775141716	1.15862739086	0.302176624537	0.148482248187	6.13699054718	0.193005532026	0.25703266263	3.25959086418	4.54086637497	0.0565967522562	1.12784695625
DD8	0.861636996269	0.782742857933	0.000882640073542	0.039478354156	0.107824213803	0.0623990185559	0.0401045382023	3.47661209106	1.74044752121	0.04042461887	0.0667995736003	5.19234132767	0.03414350003	0.558912158012	0.00036882297718	0.18450255692	0.048306286335	0.0365893542767	1.3162201643	0.216142699122	0.500657141209	0.000161518342793	0.0188451111317	0.108201645315	0.152573674917	0.612693369389	0.00480464147404	0.715060710907	0.00795405544341	2.26364636421	0.0502341203392	0.0982153564692	5.34481477737	1.99859952927	0.0050427056849	0.207343623042	1.54877245426	0.00221205549315	2.04838132858	0.0241792239249	12.0158472061	4.63800239563	0.0404252409935	2.38905596733	0.812894880772	1.13924694061	0.710121393204	0.674379706383	4.71560764313	3.1334643364	6.65285778046	1.36091220379	2.77485060692	1.45539188385	1.95036423206	1.17983102798	1.4396725893	0.117472723126	0.54162466526	0.118610821664	0.867915391922	0.606308758259	10.2187175751	0.00480464147404	0.000700404227246	0.0162323433906	0.0179137419909	0.00488540064543	0.0407022275031	2.06544780731	0.416075766087	1.40724277496	0.00024227751419	0.411409586668	6.09621747572e-05	0.132625550032	5.90214222029e-05	0.548140585423	0.00300555257127	0.0362396538258	0.0039379755035	0.000309684197418	0.0276612769812	0.565306425095	0.00282061612234	0.640331745148	0.246848270297	0.356470286846	0.00881946738809	0.00475914822891	0.000338048033882	1.80024695396	0.232551112771	0.00167869171128	1.97409141064	1.05887722969	3.3288538456	0.0594516769052	0.173247888684	0.00149352836888	0.00947317574173	0.0319867134094	0.31507229805	0.172400429845	0.0269807707518	0.00274848542176	2.42779493332	1.00225532055	0.285146445036	0.114107571542	5.39107990265	0.16614279151	0.23983989656	2.72945356369	3.93626618385	0.0482548847795	0.99717104435
DD13	1.41133868694	0.87286067009	0.00114275189117	0.0803743600845	0.0701442807913	0.0139136603102	0.0201976709068	3.77796006203	1.82455253601	0.0441253334284	0.0528712831438	5.55799770355	0.0512352921069	0.57743781805	0.000262224610196	0.293371975422	0.0441357530653	0.0200655106455	1.46368658543	0.235767051578	0.55016207695	0.000188849109691	0.017111171037	0.116661541164	0.17310321331	0.650861561298	0.0200247634202	0.76689684391	0.00561277847737	2.48793554306	0.0548616722226	0.118210621178	6.20569419861	2.17119407654	0.00317828240804	0.199091866612	1.69493365288	0.000947279855609	2.16636395454	0.00948868412524	13.4813613892	4.94750118256	0.0441260449588	2.29814863205	0.798134386539	1.66999840736	0.806974291801	0.780757248402	5.23124170303	3.38484787941	8.36185455322	1.50977218151	3.06509518623	1.95884251595	2.11860442162	1.30236816406	1.75429701805	0.0715283378959	0.581524074078	0.110952742398	1.17255890369	0.792188882828	11.8257141113	0.0200247634202	0.000122630954138	0.0250705685467	0.028061920777	0.0201191883534	0.0442931316793	2.32854056358	0.456182181835	1.65106630325	0.000283273664536	0.573984742165	6.60675286781e-05	0.153371617198	6.1830280174e-05	0.574067413807	0.000367892847862	0.0545719750226	0.0025873160921	0.000283273664536	0.0211865510792	0.579437792301	0.00243374705315	0.658707201481	0.275873303413	0.394146710634	0.00522977672517	0.00300244498067	0.000372644892195	1.79759693146	0.30114158988	0.000561644672416	2.15320372581	1.27051842213	3.68915891647	0.0727263465524	0.295222580433	0.000316081481287	0.0107114668936	0.0427701361477	0.340204030275	0.163890764117	0.0294490735978	0.00239593419246	2.6556634903	1.09205234051	0.421840071678	0.12173063308	5.8119187355	0.189757943153	0.612355828285	3.02529025078	4.28022575378	0.0679206103086	1.11458468437
