	GH1	GH10	GH100	GH101	GH102	GH103	GH104	GH105	GH106	GH107	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH119	GH12	GH120	GH121	GH123	GH124	GH125	GH126	GH127	GH128	GH129	GH13	GH130	GH14	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH22	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH49	GH5	GH50	GH51	GH52	GH53	GH54	GH55	GH56	GH57	GH58	GH59	GH6	GH61	GH62	GH63	GH64	GH65	GH66	GH67	GH68	GH70	GH71	GH73	GH74	GH75	GH76	GH77	GH78	GH79	GH8	GH80	GH81	GH82	GH84	GH85	GH86	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99
EM272_DH_DG2_3A	0.653294146061	0.700327277184	0.00103577342816	0.0548568293452	0.100004203618	0.0512333586812	0.0264886599034	2.88385748863	1.81815671921	0.0328916423023	0.0577238500118	5.34953594208	0.0389711633325	0.572956740856	0.000226637348533	0.104741834104	0.0296481624246	0.0367559194565	1.12285339832	0.192145690322	0.444240003824	0.000682858051732	0.0147034795955	0.0983132049441	0.126850813627	0.863788366318	0.00900565180928	0.639569103718	0.0128985131159	2.16523432732	0.0477098971605	0.177306100726	5.23693704605	1.90676474571	0.00390099151991	0.207814335823	1.4309463501	0.00311495549977	2.38770604134	0.0196863617748	11.0381345749	5.0620675087	0.0330368727446	2.27498197556	0.717537939548	1.03700220585	0.829756557941	0.706602156162	4.16410779953	3.04828286171	6.32467460632	1.27221465111	2.33751368523	1.21829688549	1.72770023346	1.06553149223	1.59391713142	0.130045413971	0.505871474743	0.134060457349	0.813862860203	0.581290721893	9.17452812195	0.00908661074936	0.000238115171669	0.0120737040415	0.0107715819031	0.00942803919315	0.0331485718489	2.2464928627	0.339205235243	1.29132378101	0.00115472020116	0.381243079901	0.000127600884298	0.113408833742	0.000201387723791	0.637737393379	0.000664853083435	0.0529807731509	0.0037224071566	0.000860380241647	0.0015604426153	0.513319313526	0.00212175096385	0.751177728176	0.200184643269	0.30792888999	0.00913431867957	0.00797422043979	0.00135464558844	1.81321692467	0.330797016621	0.017214205116	1.68675196171	0.976697921753	3.21471691132	0.0460676699877	0.147978588939	0.000584670051467	0.00931195728481	0.0233268942684	0.318346232176	0.161679208279	0.0222096312791	0.00553490268067	2.34463071823	0.959119200706	0.278184443712	0.0985162556171	4.89982175827	0.137451291084	0.205293312669	2.45316958427	4.03817367554	0.0526816397905	0.882192313671
EM251_C_DG1_1B	0.966027438641	0.767361283302	0.00164579856209	0.058699067682	0.0740113332868	0.0436652973294	0.0290731117129	2.59056735039	1.38807833195	0.029030688107	0.0615838058293	4.59594154358	0.0324760302901	0.398174017668	0.000368905224604	0.146006330848	0.0511195547879	0.0523245967925	1.12981069088	0.178175702691	0.356527447701	0.00129888928495	0.016342876479	0.102065041661	0.117036260664	0.459689378738	0.00452740257606	0.60440415144	0.0231208261102	1.88182032108	0.0539417602122	0.0879563763738	5.74093008041	1.55595397949	0.00707599474117	0.218946248293	1.21351516247	0.00600910652429	1.74335670471	0.0295775644481	9.09134292603	3.54563379288	0.0292844623327	2.25673174858	0.747838914394	1.42779743671	0.677811801434	0.574724435806	3.69166994095	2.49056172371	5.60729026794	1.18724012375	2.3459713459	1.38568818569	1.54575121403	1.07787406445	1.26389074326	0.0802329182625	0.533181667328	0.16118684411	0.942397773266	0.608959376812	8.77536296844	0.00473677739501	0.000403439102229	0.0115485256538	0.00937264598906	0.00538622168824	0.0315489470959	2.13652634621	0.320255666971	1.47090280056	0.00266660563648	0.510523915291	0.000176902452949	0.111824832857	0.000273557408946	0.522510230541	0.00106438947842	0.0384675115347	0.00645808828995	0.00135114544537	0.00466286111623	0.46525529027	0.00390735361725	0.541884958744	0.186590209603	0.336701661348	0.0139833884314	0.0125219635665	0.00453318702057	1.93340647221	0.427290081978	0.00719188526273	1.53966629505	1.01125085354	2.62570858002	0.0407148823142	0.236534044147	0.000920608348679	0.0186890941113	0.0196877121925	0.32313606143	0.202226966619	0.0211942382157	0.0118805076927	1.77262437344	0.767651379108	0.272749692202	0.089719556272	4.14386892319	0.130394294858	0.358898997307	2.30098628998	3.1712141037	0.0463596433401	0.766993701458
EM238_LS_DG3_3A	0.6366507411	0.887182891369	0.000728575221729	0.0319559238851	0.153316497803	0.0587892085314	0.0481348372996	3.02878022194	2.04221749306	0.0299999751151	0.0797085091472	6.45402145386	0.0298243220896	0.646230578423	0.000442292861408	0.0606052950025	0.0233299434185	0.0472747720778	1.17268502712	0.367410719395	0.473976135254	0.00111386133358	0.0145850405097	0.139849722385	0.140562459826	0.751038134098	0.00243139616214	0.663115859032	0.0142234740779	2.48838829994	0.0638875886798	0.130042567849	5.13658809662	1.93707180023	0.00475977454334	0.208023801446	1.40120863914	0.00384008558467	2.14117598534	0.0258584339172	11.2114362717	4.76174974442	0.032888982445	2.47619533539	0.754136919975	1.0584706068	0.80615901947	0.679115355015	4.45857524872	3.36380505562	6.52903604507	1.39093124866	2.67216157913	1.39748430252	1.67157912254	1.1190199852	1.64623212814	0.191068395972	0.59421813488	0.174332886934	0.968219399452	0.675494670868	9.71787166595	0.00272894091904	0.000415936374338	0.0111145991832	0.00984080322087	0.00328587158583	0.0308216307312	2.19594526291	0.346432834864	1.64154243469	0.00246424437501	0.388342946768	0.000152236534632	0.109484404325	0.00031010445673	0.626995265484	0.00293248938397	0.0308657363057	0.00698814820498	0.000807853997685	0.00202031503432	0.581349074841	0.00188079266809	0.761966407299	0.214676901698	0.311987280846	0.0100585678592	0.00803064182401	0.00178979057819	1.8143157959	0.239077165723	0.00330546940677	1.66538524628	0.884653687477	3.59652447701	0.063042588532	0.194752171636	0.0015199870104	0.00795294158161	0.0172667242587	0.275137037039	0.157931745052	0.0205488037318	0.00904251914471	2.27344632149	0.880893647671	0.281228721142	0.0978321805596	5.19692611694	0.134993299842	0.107088029385	2.70131158829	4.17422866821	0.0419922545552	0.929800391197
EM227_LS_DG4_3A	0.541129052639	0.747961759567	0.00106058432721	0.051454089582	0.110938213766	0.0498731844127	0.0345463566482	2.60876297951	1.83379793167	0.0283727254719	0.0545758381486	6.8681473732	0.0314522385597	0.581905543804	0.00015504968178	0.0807701200247	0.0291596036404	0.0350285954773	0.956528961658	0.420840293169	0.402222812176	0.000802704598755	0.0135549530387	0.178779914975	0.106843948364	0.808536052704	0.00705901440233	0.59324491024	0.0107207950205	2.27427148819	0.0438428260386	0.144679367542	5.1750793457	1.83857762814	0.00505494372919	0.199494957924	1.36274814606	0.00387017335743	2.10320281982	0.0199697930366	10.2179069519	4.69532966614	0.0293252877891	2.38195228577	0.698430716991	1.15307354927	0.671410620213	0.603306412697	3.73256254196	3.34524655342	5.75456237793	1.1909725666	2.44665145874	1.41238129139	1.56944930553	1.07253646851	1.6444337368	0.143428340554	0.551166176796	0.130535289645	0.950233638287	0.593515992165	8.23595428467	0.00728291971609	0.00018236564938	0.0109148370102	0.00873897410929	0.0076842722483	0.0267888978124	2.05142045021	0.282774478197	1.63282346725	0.00169561931398	0.345271885395	0.000468615442514	0.0963459685445	0.000198732421268	0.605089008808	0.000859598978423	0.0323951095343	0.00353403761983	0.000537777610589	0.00274612917565	0.461370676756	0.00274392240681	0.71127974987	0.174430802464	0.25939142704	0.0109387207776	0.00545983901247	0.00122196529992	1.75211846828	0.263694137335	0.00200954964384	1.5176897049	0.931556880474	3.26422262192	0.0400321632624	0.131550595164	0.00139836641029	0.0100933527574	0.0281419362873	0.317373305559	0.151406809688	0.0179747268558	0.00973788462579	2.11973667145	0.864249289036	0.236451938748	0.132785946131	4.70129394531	0.124115347862	0.132268890738	2.39754676819	3.64979147911	0.0437253937125	0.789032995701
EM219_R_DG3_4B	0.508983016014	0.846818804741	0.000902934290934	0.0595137700438	0.12362293154	0.0695569887757	0.0421154014766	3.33623147011	1.70350718498	0.0372529327869	0.0624258965254	5.52812337875	0.0442847758532	0.610257565975	0.000135229172884	0.0833265483379	0.0219866260886	0.0481470823288	1.30699646473	0.285067439079	0.473841309547	0.000382167694624	0.0185995232314	0.126139089465	0.149227157235	0.68993216753	0.0121378302574	0.71213555336	0.0069897309877	2.37722229958	0.0507741421461	0.119634874165	5.24742746353	2.01593875885	0.00285505852662	0.229325905442	1.62858772278	0.002673845971	2.24545717239	0.0254440288991	11.4678640366	5.08524370193	0.0376751199365	2.46770048141	0.856209158897	1.20556676388	0.746372282505	0.746874153614	4.54434919357	3.40084290504	6.46304941177	1.41580498219	2.70918750763	1.42344939709	2.08192610741	1.26622104645	1.52626347542	0.162048012018	0.555942416191	0.118944741786	0.858703255653	0.654887378216	10.3941860199	0.0122047886252	0.000127253966639	0.0166118852794	0.0121035436168	0.0123958727345	0.0377314649522	2.23820948601	0.394193708897	1.57387876511	0.00109404069372	0.446863055229	0.000115639188152	0.13087926805	0.000230879057199	0.619311749935	0.00254228850827	0.0432313941419	0.00325951166451	0.000396310933866	0.00125582050532	0.571427404881	0.00178418925498	0.677588105202	0.236112192273	0.356007009745	0.0068405456841	0.00408019963652	0.000867445836775	1.78065371513	0.304510742426	0.0367570482194	1.93607020378	0.936917603016	3.35514497757	0.0523042194545	0.210197076201	0.00152108422481	0.00789145193994	0.0282345637679	0.359431028366	0.175673276186	0.0252033043653	0.00566971767694	2.31169056892	1.0656017065	0.32896694541	0.112471602857	5.37758779526	0.164672672749	0.208376914263	2.83399939537	4.03176784515	0.0623519234359	0.992761433125
EM208_LS_DG4_4B	0.688005387783	0.795354187489	0.000832841615193	0.0557981207967	0.096306592226	0.145846799016	0.0301441345364	2.48930287361	1.19220066071	0.0272698588669	0.0653818920255	6.03889513016	0.0303062200546	0.37714868784	0.00411846721545	0.0986824780703	0.0275490079075	0.0344822742045	0.973940849304	0.45697376132	0.328056812286	0.00106197141577	0.0228620991111	0.196320161223	0.133774191141	0.403445363045	0.00318772136234	0.563638210297	0.0115379663184	2.12006545067	0.0422247350216	0.0876001641154	5.44161844254	1.61314964294	0.00524811353534	0.27445051074	1.20641875267	0.00360811594874	1.54838085175	0.03207622841	8.37702941895	3.35099673271	0.0276628192514	2.30970597267	0.685537874699	1.28563451767	0.559087097645	0.553001701832	3.22642350197	2.7951836586	4.98313713074	1.19928658009	2.39175105095	1.58840382099	1.5275156498	1.01921463013	1.34442830086	0.063825532794	0.598291873932	0.119578182697	0.891060888767	0.665203750134	8.0924539566	0.00351986847818	0.00027919531567	0.00963900890201	0.00875280983746	0.00405085412785	0.0306615959853	1.99429810047	0.304542779922	1.81049728394	0.003332775319	0.343760699034	0.000270804419415	0.0892482101917	0.000142738703289	0.452788025141	0.000739248411264	0.0283736400306	0.0333253033459	0.000709257146809	0.00175745761953	0.435699909925	0.00413138465956	0.592168867588	0.178971737623	0.267444700003	0.0127023607492	0.00608740979806	0.00168141373433	1.45447278023	0.274035155773	0.0147093357518	1.46959197521	0.936901688576	2.62451577187	0.0388167947531	0.134350433946	0.00102928909473	0.00913309492171	0.020325768739	0.279218912125	0.16095328331	0.017889842391	0.00830988027155	1.62016272545	0.738167881966	0.203094750643	0.0821079015732	3.96316599846	0.128170162439	0.120742179453	2.2198574543	2.71409583092	0.0434629991651	0.726220905781
EM039_C_NA_NA	1.17319703102	0.578695237637	0.00192078528926	0.0773856714368	0.0755133777857	0.0502383001149	0.0317459329963	2.39117097855	1.24168467522	0.0243538804352	0.0518494807184	4.66672420502	0.0321984402835	0.36748740077	0.000813777325675	0.207737892866	0.0944809317589	0.0615372620523	0.877570450306	0.16951406002	0.310263186693	0.000993307796307	0.0134210959077	0.108273357153	0.100606419146	0.449389666319	0.00856478698552	0.518844902515	0.0210016705096	1.64477396011	0.0486549139023	0.0915288329124	5.80768108368	1.48586475849	0.00747564574704	0.208381906152	1.10266423225	0.00350049231201	1.58637821674	0.0285050086677	8.51158618927	3.21896052361	0.0266193877906	2.16451621056	0.639169692993	1.42120432854	0.678180932999	0.518469333649	3.16212201118	2.25891947746	5.07195234299	0.946002423763	2.14765167236	1.26792740822	1.45181000233	0.898308336735	1.23513865471	0.0682518258691	0.504630327225	0.117296345532	0.951721429825	0.577622830868	7.56660890579	0.00871099345386	0.000338993733749	0.0101893395185	0.00795366615057	0.00920764729381	0.0251408107579	2.00749135017	0.264827758074	1.18500113487	0.00261494214647	0.407344430685	0.000182596981176	0.103775784373	0.000250052951742	0.401199936867	0.0010247345781	0.0620410293341	0.00909726507962	0.00112226500642	0.0435063503683	0.399903297424	0.00478621339425	0.509653627872	0.156031012535	0.236891016364	0.014751589857	0.0104322796687	0.00119070662186	1.66982102394	0.39348834753	0.00286622834392	1.38161921501	1.09223532677	2.50749182701	0.0368815176189	0.185871809721	0.000906756904442	0.021252900362	0.0288646258414	0.292614281178	0.140572935343	0.0165548603982	0.00865797232836	1.6808078289	0.680862426758	0.257790893316	0.100004650652	3.69298624992	0.109188243747	0.443524539471	1.97813558578	2.56656765938	0.045490860939	0.65413326025
EM166_LS_DG3_4B	1.38201808929	0.624387085438	0.000983919366263	0.0798185914755	0.23438577354	0.21025416255	0.138294041157	2.4620308876	1.33195590973	0.0271093863994	0.124990843236	5.89219236374	0.0457111671567	0.40508300066	0.00018152933626	0.0836989730597	0.0266182795167	0.116949230433	0.897578716278	0.211727574468	0.321945428848	0.000827327487059	0.0129502564669	0.0855116546154	0.101149320602	0.50752723217	0.0144817400724	0.567650139332	0.0110004004091	1.87009990215	0.0427268333733	0.094648309052	5.67888736725	1.46229171753	0.00448791123927	0.246983841062	1.15180110931	0.00378161598928	1.67791366577	0.106646731496	8.9599313736	3.62929201126	0.0272068623453	3.28925728798	1.07852852345	1.13224256039	0.592446208	0.51910418272	3.26985406876	2.35013651848	5.03769683838	1.03917634487	2.31537127495	1.26273584366	1.54875934124	0.866249680519	1.11565816402	0.361468970776	0.524554789066	0.162437409163	1.35131728649	0.555042028427	7.85589599609	0.0147024225444	0.000257830077317	0.0092654004693	0.00769111607224	0.015116087161	0.0247062928975	1.83190453053	0.275636434555	1.19590461254	0.00237269955687	0.361404657364	0.000118224626931	0.0953385680914	0.00024388032034	0.466306090355	0.00937952008098	0.0385577939451	0.00678862771019	0.000675034767482	0.00142807606608	0.51846152544	0.00249729957432	0.575156629086	0.167075544596	0.248237997293	0.0101322596893	0.00609045429155	0.00111482117791	1.93399250507	0.336123555899	0.00203872006387	1.37994396687	0.914771258831	2.72764205933	0.0358712673187	0.331079244614	0.0212651807815	0.0121756456792	0.0371074452996	0.34005010128	0.14591306448	0.0165619868785	0.00944560207427	1.75301480293	0.741714119911	0.310416728258	0.109668202698	4.23190736771	0.116632983088	0.180705145001	2.07305932045	2.84814739227	0.0491439662874	0.697350859642
EM175_C_DG2_2B	1.09450089931	0.737848937511	0.00128044420853	0.0413032993674	0.1330499053	0.122473672032	0.0362113714218	2.72836303711	1.17229318619	0.0284857712686	0.0550620928407	4.69726419449	0.0315298847854	0.377659767866	0.000179818147444	0.294158220291	0.15390303731	0.127662837505	1.12345468998	0.179044574499	0.335586756468	0.000469693593914	0.0127349318936	0.177657529712	0.116615816951	0.419421613216	0.00450938567519	0.620453953743	0.0090432651341	1.9243915081	0.0462313406169	0.0905940905213	6.18099975586	1.83603870869	0.00378779647872	0.291034132242	1.1818805933	0.00349050923251	1.63348698616	0.107169337571	9.94840812683	3.44012331963	0.0291208121926	2.44921541214	0.833461880684	1.31280171871	0.641205906868	0.691974639893	3.58636164665	2.45520019531	6.68730592728	1.11426627636	2.50548362732	1.45612883568	1.55725729465	1.0249568224	1.4440176487	0.0544083304703	0.628146886826	0.179077103734	1.05621671677	0.757547616959	9.24536895752	0.00458243722096	0.000277883023955	0.0123239355162	0.00901821535081	0.00481728417799	0.0284763369709	1.76457476616	0.302649348974	1.68302381039	0.00239824969321	0.645214140415	0.000188506543054	0.129840373993	0.000189505619346	0.429304242134	0.000893642951269	0.0301434621215	0.00319365179166	0.000506876676809	0.0566039308906	0.472563564777	0.00292259827256	0.500815331936	0.185810551047	0.278601199389	0.00830827653408	0.00520576257259	0.000693160807714	1.55255961418	0.47548648715	0.00131523108575	1.55125045776	1.27853393555	2.85594534874	0.0400308035314	0.273217469454	0.000922019127756	0.0121741294861	0.0182169545442	0.361856967211	0.199850305915	0.0190250892192	0.00663378275931	1.8140796423	0.745671570301	0.237597078085	0.0889755487442	4.24307537079	0.131546139717	0.743393719196	2.16674661636	2.87607002258	0.0668727532029	0.749314069748
EM177_C_DG2_1B	1.24471151829	0.688627719879	0.00129770603962	0.0807228088379	0.162360921502	0.117690503597	0.0985077396035	2.59259676933	1.31899881363	0.0267727524042	0.0876688212156	5.09186410904	0.0321232005954	0.421652704477	0.000404378020903	0.144140809774	0.0756586566567	0.11326572299	1.01251721382	0.225962758064	0.355558633804	0.000947990105487	0.0135448630899	0.10135076195	0.112685479224	0.490798711777	0.00690098386258	0.557527661324	0.014875356108	1.89480233192	0.0500815063715	0.100691616535	5.6940407753	1.62427520752	0.0053186994046	0.20316568017	1.17119133472	0.00364620774053	1.72358524799	0.0436855070293	9.32928085327	3.55386972427	0.0285459011793	2.62744736671	0.841993331909	1.25161445141	0.743368387222	0.590125620365	3.5594587326	2.52213072777	5.61256122589	1.14630579948	2.3120610714	1.34794926643	1.52846825123	0.943121314049	1.32387769222	0.212446764112	0.532306909561	0.12183432281	1.09889256954	0.560892522335	8.34878921509	0.00709905521944	0.000258876447333	0.0113997152075	0.00867616850883	0.00757305044681	0.0271756500006	2.05559515953	0.294098168612	1.27946686745	0.00188965338748	0.388827860355	0.000135954847792	0.102248959243	0.000245215749601	0.452426731586	0.0180241968483	0.0500614196062	0.00719412928447	0.00289504393004	0.0363009497523	0.503147006035	0.00272085354663	0.610745429993	0.182635173202	0.275215089321	0.0116160456091	0.0154468342662	0.00111367087811	1.80300474167	0.308999031782	0.00244959793054	1.46380627155	1.0200933218	2.63282012939	0.0494485162199	0.249526888132	0.00366711849347	0.0125418258831	0.0363670289516	0.291699409485	0.158308804035	0.0181366093457	0.00882983207703	1.83786845207	0.741754770279	0.284690469503	0.0849024727941	4.0525765419	0.118247874081	0.281610548496	2.17992544174	3.08149170876	0.0463396683335	0.763356328011
