	GH1	GH10	GH100	GH101	GH102	GH103	GH104	GH105	GH106	GH107	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH119	GH12	GH120	GH121	GH123	GH124	GH125	GH126	GH127	GH128	GH129	GH13	GH130	GH14	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH22	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH49	GH5	GH50	GH51	GH52	GH53	GH54	GH55	GH56	GH57	GH58	GH59	GH6	GH61	GH62	GH63	GH64	GH65	GH66	GH67	GH68	GH70	GH71	GH73	GH74	GH75	GH76	GH77	GH78	GH79	GH8	GH80	GH81	GH82	GH84	GH85	GH86	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99
CRBM.02	1.78514361382	0.557855606079	0.00289538572542	0.148930490017	0.0382520630956	0.0284392330796	0.0145846921951	1.99322342873	0.762378931046	0.0147784920409	0.0309338867664	4.5871925354	0.0900914147496	0.190230220556	0.000332181050908	0.406657963991	0.240782782435	0.0762171521783	0.585043013096	0.0825030356646	0.179855525494	0.0241612307727	0.0306150708348	0.104145333171	0.0776030272245	0.273679763079	0.0294903405011	0.306125044823	0.0235753450543	1.23112726212	0.0601536333561	0.211556002498	6.38040208817	1.22282838821	0.066712886095	0.176829650998	0.724325120449	0.00170347327366	1.34103357792	0.0165907945484	6.77162694931	1.71002471447	0.0152332661673	1.85715246201	0.442961037159	1.57930421829	0.777890324593	0.430242657661	2.15842342377	1.36059165001	3.90762233734	0.750648260117	1.86551690102	1.28395473957	1.05146920681	0.607961118221	1.20945620537	0.0357139930129	0.453216075897	0.127115085721	1.12194800377	0.686529576778	6.08099126816	0.0414301529527	0.000249540666118	0.00509935617447	0.00453412998468	0.0535107664764	0.0139345703647	1.94588804245	0.303599923849	0.950034737587	0.0362418480217	0.393410354853	0.000124770333059	0.0615830570459	0.000124770333059	0.224926918745	0.000748622056563	0.0992796197534	0.0394657924771	0.000584245019127	0.144940271974	0.226314112544	0.00409609684721	0.314125746489	0.157016262412	0.181253746152	0.0231405105442	0.00548341823742	0.000748622056563	1.21430122852	0.948992550373	0.0486967749894	0.912057876587	1.28657925129	1.74443864822	0.0190205425024	0.211119264364	0.000623851665296	0.0775577053428	0.043122947216	0.244602143764	0.0981407389045	0.00922710448503	0.0278171375394	1.29902744293	0.391673088074	0.408698260784	0.0614442117512	1.90861845016	0.060395937413	0.616286575794	1.41799044609	1.41980004311	0.0710472092032	0.371857196093
CRBM.03	1.19269132614	0.42737030983	0.00332297920249	0.127171546221	0.0431445613503	0.0166940614581	0.0131977079436	1.66141712666	0.75907677412	0.0179684888572	0.0301485881209	3.81668353081	0.0480099953711	0.269408792257	0.000291935371934	0.285141319036	0.0803622081876	0.0475180335343	0.571437895298	0.097432859242	0.208730101585	0.004102664534	0.0117383729666	0.0737943947315	0.0613718032837	0.346788465977	0.0260181929916	0.34261316061	0.0192614123225	1.1542506218	0.0587907508016	0.105342328548	5.53971290588	0.919963419437	0.0178864840418	0.146666198969	0.738473236561	0.0012378533138	1.30311226845	0.0129259712994	6.17796134949	2.08276772499	0.0186183154583	1.78546416759	0.414592325687	1.58328437805	0.513693273067	0.367051690817	2.08075785637	1.44803977013	3.7113764286	0.672036588192	1.72442543507	1.08407592773	0.953539431095	0.562041342258	0.982824504375	0.0314418114722	0.417683929205	0.0850889384747	0.776063501835	0.507379412651	5.36676836014	0.0277090128511	0.000141350159538	0.00827291794121	0.00506743928418	0.0297603458166	0.0154942525551	1.52128064632	0.180245131254	0.849872291088	0.00627476954833	0.434875488281	6.58761564409e-05	0.0735787972808	6.58761564409e-05	0.247998833656	0.000446009187726	0.0602998584509	0.00881844107062	0.000689817185048	0.0235707312822	0.255294114351	0.00615509273484	0.354641258717	0.104222789407	0.160424172878	0.0136509155855	0.00605636741966	0.000395256909542	1.43844866753	0.4653634727	0.00840295758098	0.862676143646	1.18039953709	1.56689572334	0.0208967085928	0.154124125838	0.000363215600373	0.0390575453639	0.0356949530542	0.246268957853	0.0968838632107	0.010290007107	0.00730285188183	1.14197659492	0.438706040382	0.326056659222	0.0591500513256	2.24968457222	0.0665391013026	0.462977588177	1.3735011816	1.67872846127	0.0647371187806	0.385152876377
CRBM.04	1.37060272694	0.534627199173	0.00351446657442	0.147841989994	0.0438760221004	0.0176796019077	0.00888878293335	1.63566708565	0.748689174652	0.0104273725301	0.0244378317147	4.71611976624	0.0888778120279	0.16206727922	0.000234352686675	0.302390426397	0.140791282058	0.0896867141128	0.440099895	0.0905058532953	0.119019672275	0.0258727427572	0.0294140446931	0.0951510742307	0.0521492809057	0.311521083117	0.0283303111792	0.256537944078	0.0218802168965	1.10880339146	0.0389982163906	0.19968034327	5.87075138092	0.822602570057	0.071499183774	0.177985534072	0.703219354153	0.00127663102467	1.22776710987	0.022235525772	5.89436817169	1.71743357182	0.0123023726046	1.80545425415	0.3824442029	1.65740430355	0.748057901859	0.394281417131	1.61876153946	1.1247202158	3.42133235931	0.583617091179	1.67724597454	1.1816059351	0.87007856369	0.470231413841	0.931300699711	0.0295574236661	0.38670861721	0.129779607058	0.831594228745	0.548320353031	5.04353523254	0.0411636456847	0.000121281926113	0.00330457743257	0.00219144485891	0.0541000142694	0.00680868746713	1.89563965797	0.253131121397	0.816125750542	0.0388091132045	0.437824994326	5.40184446436e-05	0.113054953516	6.02684449404e-05	0.224963888526	0.000363845785614	0.0989375934005	0.0408863462508	0.000309114169795	0.0253083482385	0.167824313045	0.00714953336865	0.284586131573	0.142501726747	0.124403059483	0.0226496197283	0.00309114158154	0.000324110675138	1.37531971931	0.991646170616	0.0519075393677	0.623404204845	1.18920683861	1.73603713512	0.00992891006172	0.202335238457	0.000296582293231	0.0986970439553	0.0354342609644	0.278733789921	0.0944709256291	0.00448592798784	0.0301755815744	1.18665456772	0.357065200806	0.387769430876	0.0877764821053	1.81092321873	0.0357479117811	0.547262847424	1.3440529108	1.21628975868	0.0507450550795	0.258506506681
CRBM.05	1.65990066528	0.366450339556	0.00507710361853	0.148027449846	0.0352366939187	0.0347616747022	0.0118901720271	1.47110211849	0.572048008442	0.00962306652218	0.0339045003057	3.98216772079	0.0560128949583	0.130132943392	0.000345310661942	0.361690938473	0.222479507327	0.0580365285277	0.389229536057	0.066480986774	0.106802038848	0.00997730623931	0.0198291130364	0.0678558573127	0.0547932609916	0.249364182353	0.0251279119402	0.285091996193	0.016972437501	0.811280667782	0.0390790626407	0.121840178967	6.05719566345	1.03659307957	0.0309475976974	0.11025249213	0.585012018681	0.00710444664583	1.18588757515	0.0294394008815	5.44198322296	1.58915543556	0.0100852362812	1.86151778698	0.492542088032	1.84313762188	0.549399077892	0.401347845793	1.70744025707	1.10656821728	3.22952246666	0.468431383371	1.43990242481	1.06237792969	0.974103152752	0.432374864817	0.933859407902	0.0426350086927	0.326667875051	0.0938873663545	1.14342260361	0.470743119717	4.03487634659	0.0299248415977	0.000208163153729	0.0100964652374	0.002819346264	0.034913495183	0.00880334898829	1.42151606083	0.155654042959	0.669749736786	0.0149659598246	0.364285767078	0.000101963727502	0.0596792846918	0.000101963727502	0.254823505878	0.000624489446636	0.0588345751166	0.0181164182723	0.00061692710733	0.153983950615	0.185865446925	0.00584367616102	0.262459844351	0.0966054797173	0.124348148704	0.0152208181098	0.00597749836743	0.000611782365013	1.30032777786	0.608386933804	0.0205802991986	0.836361587048	1.27020156384	1.27889549732	0.0120013738051	0.153043165803	0.000518290034961	0.0512379184365	0.0377139523625	0.303059786558	0.203636586666	0.00582681177184	0.0202705524862	0.93684232235	0.335962772369	0.307850033045	0.0431987605989	1.67125296593	0.0489392094314	0.53760933876	1.07182395458	1.13241803646	0.0448193699121	0.292807757854
CRBM.06	1.57624554634	0.3778629601	0.00281335413456	0.09423366189	0.0324016660452	0.030024735257	0.0142320552841	1.49207651615	0.550833761692	0.0124641722068	0.0303246770054	4.0267868042	0.0555097870529	0.131487369537	0.000304346467601	0.380609214306	0.128808662295	0.0552449077368	0.392550587654	0.0594471767545	0.110504820943	0.0140479840338	0.0192518718541	0.0776572227478	0.049936953932	0.212433710694	0.0181727036834	0.224330201745	0.0211776085198	0.797777533531	0.0275275148451	0.123995654285	6.26708889008	0.737966120243	0.0400925092399	0.10306917876	0.537854850292	0.00276412977837	1.07665586472	0.0187312345952	5.42520189285	1.2971278429	0.0144527442753	1.76141762733	0.337989449501	1.70536196232	0.507523417473	0.312851846218	1.75030529499	0.95657324791	3.04718518257	0.47419026494	1.70379149914	1.09442436695	0.767082452774	0.446298599243	0.877303659916	0.0305383149534	0.328188151121	0.0893092006445	0.796812713146	0.421186953783	3.81169295311	0.0248887129128	0.000217781358515	0.00670709880069	0.0027955158148	0.0319127067924	0.00869089458138	1.35116612911	0.179657697678	0.635194420815	0.021117663011	0.282061755657	0.000108890679258	0.0480294451118	0.000175708119059	0.198259934783	0.000653344090097	0.0556220635772	0.0243312567472	0.000514123647008	0.0587538965046	0.152422383428	0.0039603007026	0.257246106863	0.0990201681852	0.130574509501	0.016911726445	0.00573201850057	0.000653344090097	1.11820662022	0.687443494797	0.0284226406366	0.641988039017	1.3575886488	1.14916014671	0.0132935196161	0.142301276326	0.000544453389011	0.0520284697413	0.0484212972224	0.188704043627	0.0906745716929	0.0057978532277	0.0192490499467	0.951017618179	0.266534239054	0.282588839531	0.0427493490279	1.34667897224	0.0458514466882	0.467928290367	1.00922334194	1.02313280106	0.0342509187758	0.240392923355
CRBM.07	1.27042281628	0.257831811905	0.00308186234906	0.119062103331	0.0538184121251	0.0321388356388	0.0130170099437	1.03599846363	0.577937841415	0.00822552107275	0.041306335479	3.86299204826	0.0432116352022	0.263551294804	0.000524284376297	0.312062799931	0.0928613618016	0.0591547712684	0.289009064436	0.0775001123548	0.106730423868	0.00546634523198	0.0102024357766	0.0595525205135	0.0414274074137	0.384687304497	0.0190054867417	0.281628072262	0.0165195856243	0.727339327335	0.0928736776114	0.114478453994	5.52756166458	0.763591468334	0.022214487195	0.172591209412	0.745047032833	0.00226082047448	1.10730516911	0.0216695014387	4.82225990295	1.94689416885	0.00683405296877	1.8383191824	0.354190766811	1.45038628578	0.427919775248	0.381630003452	1.26498270035	1.16577219963	3.05139422417	0.382351398468	1.615883708	0.959384918213	0.747015833855	0.343630999327	0.906215488911	0.0309593807906	0.361844182014	0.133867323399	0.841340661049	0.443473488092	3.2145986557	0.0215353760868	0.00024468274205	0.0113394493237	0.00219795270823	0.0242685489357	0.00711814267561	1.4004226923	0.154982745647	0.610659122467	0.00821311958134	0.357522189617	0.000121936027426	0.113737642765	0.000133164547151	0.222627341747	0.000750015315134	0.0472971275449	0.0129102673382	0.000488085119287	0.0252563618124	0.166298463941	0.0202517751604	0.27150067687	0.120137162507	0.0843743905425	0.017540210858	0.0183193664998	0.000730377156287	1.33193004131	0.417905032635	0.0112977549434	0.703418314457	1.2285451889	1.20307397842	0.00968517921865	0.126205831766	0.000613962707575	0.111184857786	0.0805625170469	0.319991767406	0.233609199524	0.00454428978264	0.0127573851496	0.715582191944	0.427608042955	0.274773657322	0.0391813516617	1.92964100838	0.0391283780336	0.434869974852	0.90075802803	1.15666949749	0.035243820399	0.228899329901
CRBM.08	1.38979244232	0.536520719528	0.00209743785672	0.157189741731	0.0448851771653	0.0191642995924	0.0147122964263	2.19811248779	0.879493117332	0.0206932872534	0.0385342724621	4.23414993286	0.0558949783444	0.299469023943	0.000209458798054	0.374651104212	0.182655394077	0.034808639437	0.73763012886	0.133160933852	0.239685460925	0.000410813605413	0.00834071543068	0.0887456312776	0.0820066556334	0.399479091167	0.0392683930695	0.390039712191	0.00859740935266	1.32532966137	0.0526566468179	0.1189301759	6.26814508438	1.41207253933	0.00505452463403	0.138421878219	0.945084095001	0.00112353824079	1.25912165642	0.0124634085223	7.94765853882	2.62196135521	0.0203399192542	1.8267210722	0.523348987103	1.48229885101	0.57804018259	0.459621727467	2.73958396912	1.84948158264	4.49856948853	0.774961054325	2.06102228165	1.01653289795	1.35551345348	0.714102685452	1.09091508389	0.0283537749201	0.396892040968	0.0735604315996	0.984944880009	0.544153571129	6.36143064499	0.0392683930695	0.000154471286805	0.0106915105134	0.0067553082481	0.0394738018513	0.020475383848	1.74812746048	0.22558452189	0.92427021265	0.000616220408119	0.357949227095	7.08391307853e-05	0.107128098607	7.08391307853e-05	0.287241816521	0.000463413831312	0.0708455517888	0.00262183276936	0.000316218211083	0.146685644984	0.301890164614	0.00733595853671	0.372745960951	0.126493215561	0.201531991363	0.0102117341012	0.00284807709977	0.000425034813816	1.33275341988	0.385576367378	0.00103414466139	1.22232484818	1.26800441742	2.02285194397	0.0328419618309	0.171736732125	0.000379781704396	0.0357024297118	0.076321952045	0.303082287312	0.0959802642465	0.0135846119374	0.0030660785269	1.52855122089	0.598359465599	0.458360075951	0.0875417888165	2.89829468727	0.0926625579596	0.522462904453	1.65201485157	2.03513836861	0.0672679394484	0.529465675354
CRBM.09	1.15469956398	0.332470744848	0.00204617669806	0.120978876948	0.0422505587339	0.0318956747651	0.0154064139351	1.16168212891	0.573777079582	0.0132038360462	0.0298495870084	3.50512099266	0.035885900259	0.187039881945	0.000486349250423	0.227077797055	0.104838483036	0.0584419630468	0.408304721117	0.0733236670494	0.136344656348	0.000334520067554	0.0062490827404	0.0648402422667	0.0425275228918	0.308851152658	0.025562454015	0.240197733045	0.0107742920518	0.849389612675	0.0514739342034	0.0820163562894	5.73215246201	0.896420300007	0.00627813208848	0.115053653717	0.648774087429	0.00195701280609	0.975557863712	0.0186244733632	5.00978708267	1.72176134586	0.0104356147349	1.51473939419	0.362787544727	1.37627148628	0.61720097065	0.368000537157	1.46497404575	1.11066031456	3.21853232384	0.451233744621	1.40789067745	0.833595395088	0.819717049599	0.448619753122	0.880656838417	0.0431204661727	0.311009854078	0.0754799246788	0.755811989307	0.380394846201	3.95246624947	0.025562454015	0.00025188838481	0.00411620130762	0.00342060788535	0.0257297139615	0.0107481721789	1.81228733063	0.129253849387	0.663444280624	0.000501780072227	0.449143946171	0.000125944192405	0.0770121589303	0.000125944192405	0.205035850406	0.000783788680565	0.0904946401715	0.0048825936392	0.000473369640531	0.0565108433366	0.195364207029	0.00799962505698	0.311664760113	0.079050116241	0.112173058093	0.0105131035671	0.004845705349	0.000755665183533	1.19042360783	0.425918996334	0.0107916519046	0.766565442085	1.20797038078	1.28037703037	0.0203168094158	0.138038858771	0.000648469955195	0.0370996668935	0.057777646929	0.241082176566	0.116378873587	0.00701500661671	0.00449071638286	0.839656114578	0.368734717369	0.349571108818	0.0374977774918	1.63506066799	0.0491710416973	0.472007811069	1.01110565662	1.21258449554	0.0430335886776	0.28687274456
CRBM.10	1.29553174973	0.437660247087	0.00285048852675	0.117245480418	0.0942000225186	0.0646627321839	0.0308155082166	1.93949615955	0.872405827045	0.0143828233704	0.0538294948637	4.55736637115	0.0518616102636	0.30675637722	0.000585412664805	0.251314580441	0.106896311045	0.0777261555195	0.532038986683	0.090025305748	0.368599683046	0.0117099843919	0.115168809891	0.0903918296099	0.0714073851705	0.377087444067	0.0150688942522	0.535542666912	0.0176334120333	1.19467413425	0.0376029498875	0.130494773388	6.02304315567	1.14336919785	0.035443585366	0.150179475546	1.02021002769	0.00309168663807	1.46413052082	0.0346079431474	6.65340471268	2.81766080856	0.0143748503178	2.20010733604	0.62301582098	1.42095792294	0.534520685673	0.425672382116	2.48758983612	1.82785022259	4.23340606689	0.6319617033	1.71423697472	1.3310148716	1.25355541706	0.539328694344	0.996444165707	0.0639249011874	0.447892099619	0.11441783607	0.961753726006	0.522600591183	5.10661697388	0.0207352340221	0.000592340424191	0.00905258115381	0.00472873263061	0.0265902262181	0.0226173121482	1.42824316025	0.22768202424	0.787735521793	0.0175649765879	0.477480083704	0.000518567452673	0.0753199383616	0.00016194464115	0.357419133186	0.00177702133078	0.0532095469534	0.0231689829379	0.00058987736702	0.0232667010278	0.357269376516	0.00604572845623	0.570216059685	0.12694118917	0.154583930969	0.0203060135245	0.00581904081628	0.00132829067297	1.54437792301	0.565310120583	0.0239058025181	1.07614398003	1.23399591446	1.69195318222	0.0219544488937	0.151554897428	0.00170324824285	0.0498926974833	0.0252132061869	0.248480021954	0.10443547368	0.0148765845224	0.0198867581785	1.48635649681	0.405574321747	0.349441677332	0.0557307414711	2.89632940292	0.0710090920329	0.356887996197	1.65779650211	1.87977159023	0.0421298220754	0.389236062765
CRBM.11	1.55396354198	0.522978961468	0.00201817625202	0.153375446796	0.0249361135066	0.0127314589918	0.0101616019383	1.7674934864	0.748962640762	0.0148431025445	0.0313638597727	4.0987701416	0.0599682629108	0.171806320548	0.0001726228802	0.462361484766	0.139101058245	0.10860107094	0.561377882957	0.0887076035142	0.194924324751	0.0122037241235	0.0278214085847	0.125074446201	0.0682698339224	0.268443316221	0.0237392559648	0.329825162888	0.0166219975799	1.08297359943	0.0473500341177	0.133416295052	7.10052204132	1.05810379982	0.0372046642005	0.200905561447	0.717164337635	0.000950389076024	1.32851719856	0.0373493954539	6.65627908707	1.85408806801	0.0148014714941	1.9130859375	0.437475562096	1.81041359901	0.587717711926	0.449644804001	2.08685874939	1.38300144672	4.63220834732	0.629357635975	2.12502622604	1.36207699776	0.97475874424	0.577372848988	1.21672129631	0.0223356392235	0.431199759245	0.135446324944	0.925550282001	0.760685682297	5.42283201218	0.0296564158052	0.000105545768747	0.00530391884968	0.00478917825967	0.035758279264	0.0145401572809	1.67230272293	0.234485000372	1.00938308239	0.018305586651	0.54059445858	5.27728843736e-05	0.103184916079	5.27728843736e-05	0.208612710238	0.000316637306241	0.0676646456122	0.0198871456087	0.000743955955841	0.0375030823052	0.225379824638	0.00754998950288	0.342072218657	0.125778004527	0.151518374681	0.0169720984995	0.0145334899426	0.000316637306241	1.21497511864	0.709026515484	0.0245657674968	0.830609083176	1.47851502895	1.70536231995	0.0197880435735	0.266717195511	0.00026386443642	0.0667722448707	0.0503437817097	0.29367941618	0.113092631102	0.00967091880739	0.0168490558863	1.17741239071	0.411892741919	0.324934154749	0.0604116506875	1.96731483936	0.061406314373	0.901563823223	1.39522230625	1.36888253689	0.0722876340151	0.359366565943
