	GH1	GH10	GH100	GH101	GH102	GH103	GH104	GH105	GH106	GH107	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH119	GH12	GH120	GH121	GH123	GH124	GH125	GH126	GH127	GH128	GH129	GH13	GH130	GH14	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH22	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH49	GH5	GH50	GH51	GH52	GH53	GH54	GH55	GH56	GH57	GH58	GH59	GH6	GH61	GH62	GH63	GH64	GH65	GH66	GH67	GH68	GH70	GH71	GH73	GH74	GH75	GH76	GH77	GH78	GH79	GH8	GH80	GH81	GH82	GH84	GH85	GH86	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99
AfElphSD3.16S	1.13153684139	0.406150132418	0.0026273294352	0.0980658680201	0.0941061228514	0.0502516031265	0.0286632627249	1.19997191429	0.791309654713	0.0103592080995	0.082855604589	4.02845716476	0.0264637265354	0.322075933218	0.000601468083914	0.166925296187	0.075378395617	0.0718397349119	0.482719570398	0.0893404334784	0.139952123165	0.000698507355992	0.0155669879168	0.0585871078074	0.0494478307664	0.375178515911	0.0112255858257	0.456699669361	0.0239280220121	1.01216828823	0.049754422158	0.0694005861878	5.41730356216	0.925125420094	0.0117165399715	0.161568567157	0.638537466526	0.011867729947	1.21150636673	0.0578287281096	5.07063245773	2.34708571434	0.0104138907045	2.06340122223	0.753790318966	1.66070759296	0.557568609715	0.40999943018	1.672498703	1.62976455688	3.39212346077	0.598147630692	1.36774146557	1.02244782448	0.926635503769	0.514879107475	0.777490079403	0.0849873423576	0.411385148764	0.102879829705	1.03447425365	0.381011605263	4.32818746567	0.0112255858257	0.000407834595535	0.00612963270396	0.00333880912513	0.0115748392418	0.0106178950518	1.393689394	0.112327702343	0.842969954014	0.00104776106309	0.331627070904	0.000232109145145	0.0515580587089	0.000394212256651	0.464550793171	0.00122350384481	0.0344078466296	0.00760522857308	0.00102834322024	0.0158036164939	0.337212324142	0.00490382686257	0.366244137287	0.0974938720465	0.163617402315	0.0195174179971	0.010666209273	0.00125169567764	1.82754290104	0.429332792759	0.00200876663439	0.967545807362	1.03297746181	1.33727490902	0.0189587138593	0.128955468535	0.0010759702418	0.0204014685005	0.0217279028147	0.375773847103	0.295657515526	0.00707508157939	0.0208017490804	0.824187815189	0.391029268503	0.205916270614	0.0400896444917	2.7155957222	0.0564245358109	0.263886898756	1.1756632328	1.7679297924	0.0347971469164	0.368553370237
Armadillo.16S	1.7898414135	0.260245770216	0.00425522681326	0.230671823025	0.0498899631202	0.0635487660766	0.0233847126365	0.674728691578	0.477551788092	0.00494860718027	0.0422332212329	3.14671874046	0.0380142666399	0.0647385045886	0.00134892051574	0.305527806282	0.0885459855199	0.076878271997	0.256807953119	0.0428479872644	0.0755392760038	0.00113974930719	0.00850400980562	0.0588305927813	0.0236080698669	0.204390719533	0.022742304951	0.2072391361	0.0269767716527	0.555360198021	0.0305367913097	0.0949156805873	5.82883358002	0.427700906992	0.0122874621302	0.11162379384	0.272200137377	0.00528500275686	0.824884474277	0.0357620716095	3.14079713821	0.934920549393	0.0047132698819	1.90873908997	0.276359826326	1.66445326805	0.357963651419	0.257719516754	0.935982823372	0.718392908573	2.27996444702	0.341635942459	1.14162278175	1.09631919861	0.579817116261	0.326279610395	0.715776026249	0.0513380542397	0.446987658739	0.0915665253997	0.945398211479	0.373807132244	2.64351630211	0.0228962339461	0.000490100705065	0.00328981713392	0.0013090595603	0.0234661083668	0.00527609884739	1.22934436798	0.0528760924935	0.575364649296	0.00170962396078	0.222246646881	0.000243521251832	0.0399693585932	0.000257180887274	0.141057625413	0.00159624405205	0.0591737292707	0.0132898250595	0.00306428642943	0.0136338910088	0.135880500078	0.00571881700307	0.316326081753	0.0337627828121	0.0878714025021	0.0294547043741	0.027604771778	0.0014284098288	1.55782651901	0.429693281651	0.00299043185078	0.381620824337	1.08155894279	0.776919543743	0.00835151225328	0.160713851452	0.00130768399686	0.0231854412705	0.0304084848613	0.308003902435	0.117916926742	0.00340421055444	0.0101432986557	0.558382034302	0.183494478464	0.24468486011	0.0560356043279	0.70635420084	0.0215681176633	0.370873659849	0.792162120342	0.608535289764	0.040929235518	0.144965216517
BaboonSTL.16S	1.91098225117	0.170738518238	0.00215782783926	0.146060988307	0.101489454508	0.132180124521	0.0449785701931	0.658282160759	0.592626571655	0.00304909306578	0.0862491726875	3.49449872971	0.02381561324	0.0497281886637	0.00118882022798	0.289946496487	0.146003603935	0.0876998454332	0.134347066283	0.0463986434042	0.0610561221838	0.00118819845375	0.00936415791512	0.053128246218	0.0177566576749	0.147917419672	0.01627538912	0.178035065532	0.0424026958644	0.413792133331	0.0289000291377	0.0800762027502	5.24856042862	0.482437700033	0.0203363448381	0.120898686349	0.238512188196	0.00987898558378	0.863427817822	0.0553887486458	2.72966051102	0.740417718887	0.00299331708811	2.01542329788	0.40645813942	1.51596021652	0.331991195679	0.184337466955	0.702992737293	0.620697319508	1.9441382885	0.239567577839	1.01772987843	0.848502159119	0.541595518589	0.226465210319	0.686133801937	0.10490975529	0.39431849122	0.130373820662	1.12394762039	0.356091082096	1.84275841713	0.01627538912	0.00109370285645	0.00329680158757	0.000766849087086	0.0168694891036	0.00348936743103	1.01269340515	0.0406782664359	0.392225593328	0.00181576493196	0.149829402566	0.000553544901777	0.0264580994844	0.000561911670957	0.139118552208	0.00328110856935	0.0511996671557	0.0140410782769	0.00224563712254	0.0766419097781	0.1395804286	0.00607953639701	0.314924150705	0.0297968313098	0.0419936440885	0.0348787233233	0.0216026008129	0.0032878019847	1.46150481701	0.373810738325	0.00401695119217	0.413894802332	1.00261890888	0.769863069057	0.0069221034646	0.137054756284	0.00274764397182	0.0194256324321	0.0211591627449	0.235502839088	0.120742596686	0.00222646794282	0.0142570044845	0.461533010006	0.127386644483	0.197845727205	0.0162817630917	0.614178299904	0.0202936641872	0.39321359992	0.527385592461	0.380388766527	0.028673838824	0.125758498907
BaboonW.16S	1.19496297836	0.137347847223	0.00397055735812	0.103113904595	0.0458077341318	0.08014241606	0.0171585138887	0.367765545845	0.373781085014	0.00151162093971	0.0596782006323	3.05619263649	0.0193119831383	0.0347130447626	0.000691178138368	0.200772330165	0.0779083818197	0.17693130672	0.0964512005448	0.0296897422522	0.0373904332519	0.000514185347129	0.00536509416997	0.0466242171824	0.010397345759	0.126741155982	0.0118307424709	0.131690323353	0.0195437576622	0.321974664927	0.0473157912493	0.0625208094716	4.69057321548	0.304370373487	0.0120246261358	0.08584856987	0.215253442526	0.00546101434156	0.792100012302	0.0311780292541	1.93630886078	0.536541461945	0.00156168302055	2.00092625618	0.283752679825	1.25006210804	0.432144314051	0.170761615038	0.410235077143	0.466173171997	1.61573684216	0.168552532792	0.753809273243	0.959662020206	0.362509191036	0.173310980201	0.63893032074	0.0405067801476	0.273248046637	0.0797227844596	0.760949194431	0.269337296486	1.45133054256	0.0118307424709	0.00032910972368	0.00202916469425	0.000418176088715	0.012087834999	0.0019457063172	0.962598919868	0.0200333800167	0.343954771757	0.000771277991589	0.17534302175	0.000229079319979	0.0463491939008	0.000162203767104	0.11660451442	0.000987329171039	0.0468180403113	0.00683814985678	0.000771277991589	0.0105392476544	0.0860126763582	0.0101374285296	0.210988119245	0.0203275457025	0.0312756001949	0.0183774586767	0.00806321483105	0.00104009814095	1.53827548027	0.326897621155	0.00151498196647	0.290718138218	1.00537967682	0.538938581944	0.00432752026245	0.0905029922724	0.000951823196374	0.0463083200157	0.0184438060969	0.242195948958	0.100034020841	0.00114350684453	0.00846437644213	0.259035199881	0.0916886776686	0.143819570541	0.0167412385345	0.522305727005	0.0109856333584	0.331754982471	0.421061873436	0.288935869932	0.0228203497827	0.0809669345617
BigHornSD.16S	1.47127962112	0.203995272517	0.00349206477404	0.149790376425	0.0437959171832	0.0493700616062	0.0276469942182	0.556225419044	0.513856768608	0.00326063577086	0.0555608682334	3.39365315437	0.0353750996292	0.0905065760016	0.000546065566596	0.212124213576	0.0787877812982	0.10002014786	0.141038298607	0.0456011742353	0.0583948008716	0.00124731252436	0.00588397495449	0.0517707616091	0.0148898195475	0.285223305225	0.0233187545091	0.207400709391	0.0427222140133	0.511410832405	0.0476136170328	0.103937357664	4.94527435303	0.452152967453	0.0142406597733	0.125932231545	0.323955535889	0.00420699734241	0.994637310505	0.0376093126833	2.85379576683	1.10673666	0.00318903313018	1.91819250584	0.317549973726	1.32381165028	0.412337124348	0.240248650312	0.659900844097	0.726798951626	2.17881274223	0.287204563618	0.998263418674	0.80494582653	0.48321813345	0.230994522572	0.729604780674	0.0556771159172	0.378442198038	0.0953082069755	0.848749697208	0.336855083704	2.07542872429	0.0234152600169	0.000422756100306	0.00289102899842	0.00088882248383	0.0240389164537	0.00321253295988	1.15062439442	0.0435595922172	0.408444046974	0.00196747528389	0.161363169551	0.000270451710094	0.0477886162698	0.000516648113262	0.179017007351	0.00126826833002	0.05727173388	0.00857135653496	0.00178250472527	0.00357954623178	0.136296331882	0.00688774464652	0.334391206503	0.0453452169895	0.0443682335317	0.0233833547682	0.0170341450721	0.00131562049501	1.51020872593	0.382209569216	0.00341124576516	0.367651343346	0.917901217937	0.85070335865	0.00993918906897	0.112994395196	0.00112239771988	0.0314700491726	0.0353670343757	0.237403705716	0.0947588607669	0.00230021052994	0.0100323567167	0.491863429546	0.181436151266	0.259482234716	0.022998707369	0.975390136242	0.0191703885794	0.351486384869	0.600468814373	0.651457428932	0.0451534353197	0.132899150252
BigHornW3.16S	1.07968449593	0.0871174260974	0.000842453213409	0.142880380154	0.020436597988	0.0260733496398	0.0114046232775	0.234538570046	0.170804992318	0.00132927473169	0.0204010121524	2.07396101952	0.0185952484608	0.0371544770896	0.0129509866238	0.213726967573	0.0535314232111	0.0546217299998	0.0604977048934	0.0141318291426	0.0393052771688	0.00125939759891	0.0350028499961	0.0740228891373	0.0709065422416	0.084602676332	0.0092507340014	0.168388843536	0.0265320800245	0.421574681997	0.0242113769054	0.12746784091	5.99777793884	0.156584352255	0.00598444137722	0.267902046442	0.319131851196	0.00190329900943	0.445617467165	0.0512333139777	1.60087931156	0.5741725564	0.00133765244391	1.73972153664	0.126390948892	1.11052882671	0.204804137349	0.254353672266	0.30871912837	0.407379925251	1.87507140636	0.330511629581	0.712506055832	0.876220285892	0.352629929781	0.125784084201	0.605866491795	0.021465530619	0.402264744043	0.121579177678	0.55035763979	0.542957365513	1.77607965469	0.00957467313856	0.000188310892554	0.00164152309299	0.000357699173037	0.0102043719962	0.0140240844339	0.895309746265	0.0214664898813	0.524146735668	0.00599232502282	0.14047510922	9.4155446277e-05	0.0237236041576	0.00012255749607	0.179588258266	0.000564932648558	0.0239386800677	0.103714540601	0.000768531579524	0.00851718895137	0.0966571643949	0.0114749381319	0.299590110779	0.0259157661349	0.0297256875783	0.0150692826137	0.00774395978078	0.000555096426979	0.71389824152	0.265497684479	0.00279535981826	0.327767461538	0.976342618465	0.353230893612	0.00313407997601	0.0835328176618	0.000470777216833	0.0303658358753	0.0116135589778	0.116274289787	0.0818605422974	0.000979953212664	0.00421174429357	0.161781966686	0.0704162120819	0.102743364871	0.00746575789526	0.404432564974	0.0136325685307	0.152486339211	0.290158361197	0.182430028915	0.0200231894851	0.0694530084729
BlackBr2.16S	3.2574505806	0.0167238153517	4.3896229727e-06	0.248619616032	0.0263182278723	0.0278135817498	0.0170832965523	0.0687920004129	0.106840111315	0.0221635177732	0.0104452855885	1.95792853832	0.00366209447384	0	0	0.0306019950658	0.00946949888021	0.0190988425165	0.00449876859784	0.00609086453915	0.00579618336633	0.00167712219991	0.00168472132646	0.00646839896217	0.00167712219991	0.0141462320462	4.3896229727e-06	0.458358347416	0.0128848273307	0.0379439145327	4.00791650463e-05	0.0123573830351	5.3651881218	0.0397553890944	0.00804946850985	0.0209294203669	0.129087328911	4.5327628868e-06	0.116617672145	0.00839474983513	0.845769762993	1.13645267487	7.5990433288e-06	1.39795362949	0.166282311082	1.36451470852	0.0210883952677	0.00517325941473	0.0808697491884	0.546494662762	0.487408071756	0.021277628839	0.281421244144	1.30040085316	0.501183450222	0.500595927238	0.588317871094	0.0429032929242	0.557253956795	0.0227103736252	0.302767544985	0.0477701984346	0.167753100395	0.000838417967316	0	6.67062704451e-05	0	0.00167697912548	0	0.213872864842	0.0109012946486	0.0261493790895	0.00251568341628	0.07396517694	0	2.63377369265e-05	0	0.00361678563058	0.00179442460649	0.00180106738117	0.00311382487416	0.0664905533195	8.9223858595e-06	0.0292309615761	4.3896229727e-06	0.0440828278661	0.0494827479124	0.00252474891022	0.0272641982883	0.443346351385	0	2.47380542755	0.0695741251111	0.00335424439982	0.0211041979492	0.879173517227	0.142827004194	0.0221635177732	0.22903509438	0.0011962831486	0.00421475386247	8.7792459453e-06	0.254254072905	0.374003112316	7.5990433288e-06	0.0463076159358	0.291943967342	0.0117702549323	0.00653421878815	0.00204801303335	0.355893015862	1.51980866576e-05	0.0663558840752	0.382245391607	0	0.110830754042	0.135290652514
BlackLemur.16S	3.02223515511	0.199169412255	0.000684426748194	0.204903632402	0.0106220161542	0.00635250238702	0.00231748539954	0.483055889606	0.8416005373	0.00936745572835	0.0392530634999	3.45153689384	0.00756059167907	0.0088965324685	0.000388199463487	0.232837408781	0.0541436336935	0.00840002112091	0.158619269729	0.0506271757185	0.0470892637968	0.000306997797452	0.00703671388328	0.0352808050811	0.0085361385718	0.07921808213	0.00591984670609	0.304371237755	0.0311554372311	0.341013759375	0.00804832950234	0.0454783625901	5.85778999329	0.225900575519	0.0299781020731	0.0888083130121	0.217495664954	0.00593055179343	0.829851210117	0.0164546966553	1.84609079361	1.20025634766	0.00023295142455	1.60450732708	0.392570883036	1.97839570045	0.237168610096	0.133295193315	0.595991313457	0.763856291771	1.55836176872	0.241373717785	0.834687054157	1.3529831171	0.559902608395	0.449475705624	0.746098458767	0.0358926802874	0.49302443862	0.0737372934818	0.991881251335	0.283988565207	1.4810436964	0.00603365153074	5.49018841411e-05	0.00106222578324	6.44190004095e-05	0.00618715025485	0.000581456464715	0.787770152092	0.00436765002087	0.447836101055	0.000612236035522	0.276382535696	2.5189925509e-05	0.00328313815407	2.5189925509e-05	0.17868642509	0.000164705648786	0.00836379732937	0.00366488914005	0.0275225955993	0.00278249941766	0.145109608769	0.000669707893394	0.147771820426	0.0265439674258	0.0676889419556	0.0395819805562	0.183880925179	0.000151139553054	1.9959936142	0.265380173922	0.000689565378707	0.299186974764	1.15173089504	0.644496381283	0.00956692826003	0.15409116447	0.000134993693791	0.00277086580172	0.00877665728331	0.388889461756	0.331778675318	0.000168532424141	0.0248824823648	0.456906408072	0.0873340889812	0.0775971636176	0.00252481573261	0.574897229671	0.00701705273241	0.255785405636	0.668838739395	0.402670830488	0.0537863448262	0.12229962647
BlackRhino1.16S	1.1396831274	0.376383513212	0.00491228234023	0.15002413094	0.0521331503987	0.0476124584675	0.0270865932107	0.789491832256	0.541431665421	0.00411857478321	0.0718672573566	3.719840765	0.0462189093232	0.124432131648	0.000649304129183	0.200535595417	0.0704338699579	0.0683492571115	0.310983389616	0.0627075657248	0.067675806582	0.00154779455625	0.0172450486571	0.0446599163115	0.0309011936188	0.232454791665	0.0300547555089	0.364250957966	0.0171071849763	0.765638113022	0.040944557637	0.0796068459749	5.80524682999	0.725491583347	0.0110991923138	0.147511258721	0.503820121288	0.0146501734853	0.928791046143	0.0635772123933	3.76110291481	1.64515936375	0.00414990959689	1.99278950691	0.772310435772	1.95829308033	0.603912651539	0.421707540751	1.05946207047	1.184933424	2.6636133194	0.450588524342	1.18857073784	0.953249454498	0.789173185825	0.389970779419	0.64051347971	0.0886418074369	0.297670841217	0.0910359621048	0.969562709332	0.318372011185	3.24600410461	0.0305832270533	0.000413738540374	0.00232013943605	0.00129052356351	0.0313571244478	0.00452087447047	1.48010933399	0.0573304444551	0.727828919888	0.00240977038629	0.317914754152	0.000215677122469	0.0333482250571	0.000818007916678	0.408870756626	0.00124121562112	0.0577429234982	0.0115459924564	0.000741012569051	0.00862184446305	0.250260174274	0.00470724655315	0.243087336421	0.0701795518398	0.126734092832	0.0165178924799	0.0076004685834	0.00123397679999	1.71468424797	0.612914383411	0.00529198301956	0.702555775642	1.03975939751	0.95801872015	0.0115520954132	0.144161790609	0.00105196202639	0.0216450747102	0.0445159859955	0.420086532831	0.335159510374	0.00285938614979	0.0192688535899	0.532404601574	0.30946034193	0.334555953741	0.0297910645604	1.98014855385	0.0355126261711	0.329875648022	0.955754339695	1.13918375969	0.0458915233612	0.24429911375
BushDog1.16S	1.15230989456	0.130465850234	0.00373956677504	0.282545685768	0.0386950597167	0.0468436740339	0.0176219772547	0.480789452791	0.266938686371	0.00370593834668	0.0300576388836	2.67981243134	0.0128292841837	0.0450766757131	0.00154116179328	0.352509349585	0.034587085247	0.12247402221	0.123439915478	0.0269000940025	0.0623835325241	0.000419049727498	0.0119441058487	0.0318590290844	0.0209011603147	0.182455375791	0.0054948059842	0.239168807864	0.107852391899	0.377162158489	0.137978613377	0.0709325671196	5.72480297089	0.440864264965	0.00615305872634	0.198851138353	0.48394960165	0.00436176965013	0.710018098354	0.0228109341115	2.65043354034	0.898201823235	0.00383992958814	1.50461935997	0.295750021935	1.74932610989	0.637033045292	0.198377534747	0.571106612682	0.670439422131	1.98310375214	0.20798355341	1.54487943649	0.902387797832	0.661463558674	0.237495064735	0.787225782871	0.0380133464932	0.569301664829	0.187052354217	0.746286451817	0.431274175644	2.08614873886	0.0054948059842	0.000415420887293	0.00200112676248	0.00116148195229	0.00570433121175	0.00502560753375	1.81103992462	0.0410999171436	0.39214065671	0.000628574576695	0.332880467176	0.000207710443647	0.143370732665	0.000206434095162	0.079455986619	0.00124626269098	0.110814027488	0.0134253548458	0.000664477818646	0.00118562567513	0.177975162864	0.03413490206	0.309927225113	0.0248145479709	0.0331403799355	0.0132778249681	0.00756072206423	0.00123988091946	1.60029661655	0.555754780769	0.00145740178414	0.397932499647	1.10514104366	0.611267149448	0.00592439994216	0.120877727866	0.00103855226189	0.163715019822	0.0124906990677	0.606124401093	0.256686538458	0.00267844763584	0.00447943247855	0.388226211071	0.1975954175	0.0869145095348	0.0478534437716	0.548918962479	0.0173046011478	0.549092948437	0.653537988663	0.34302765131	0.0161371566355	0.105336271226
